O2181 3421N 11113E 009810 009810 105 000 S15 91999999919999199999 0 2010 01
P=
TB
0020 0032 0026 0028 0011 0032 0034 0035 0034 0030 0026 0025
0052 0079 0095 0115 0141 0148 0144 0129 0114 0087 0094 0101 0154 1410 0011 0101.
//// //// //// //// 0073 0069 0064 0046 0046 0045 0034 0035
0056 0073 0090 0094 0108 0115 0115 0119 0100 0081 0082 0026 0129 1428 0026 2000.
-016 -031 -045 -054 -060 -065 -062 0003 -079 -088 -095 -098
-086 -063 0018 0048 0076 0107 0148 0128 0104 0077 0090 0075 0149 1504 -099 0742.
0077 0072 0051 0040 0024 0013 -002 -009 -013 -023 -040 -054
-040 -019 0009 0004 0009 0011 0021 0011 -007 -019 -025 -042 0091 2027 -055 0805.
-055 -078 -089 -097 -103 -108 -110 -111 -110 -111 -112 -113
-107 -091 -077 -068 -063 -061 -061 -061 -075 -090 -095 -097 -042 2006 -113 0351.
-101 -108 -113 -115 -119 -124 -126 -128 -130 -134 -133 -134
-113 -093 -075 -064 -047 -034 -038 -053 -067 -076 -084 -089 -034 1329 -136 0724.
-092 -101 -105 -107 -108 -112 -113 -114 -114 -106 -110 -107
-103 -094 -093 -082 -071 -064 -059 -039 -049 -072 -090 -097 -037 1615 -116 0432.
-099 -101 -105 -102 -103 -109 -108 -112 -125 -120 -124 -128
-112 -088 //// //// -042 -039 -038 -045 -059 -075 -081 -084 -031 1224 -131 0733.
-087 -092 -088 -085 -058 -008 -024 -017 -047 -044 -055 -070
-066 -060 -037 -040 -046 -043 -045 -055 -063 -070 -076 -080 0008 0206 -092 2154.
-083 -082 -086 -092 -095 -100 -101 -101 -102 -093 -095 -081
-070 -058 -043 -028 -009 0000 0009 0014 -005 -008 0000 0002 0018 1551 -103 0333.
-002 -003 -003 -004 -011 -017 -005 -010 -010 -012 -015 -022
-015 -009 0002 0006 0002 0010 -005 -003 -009 -016 -020 -026 0015 1348 -027 1958.
-026 -023 -022 -021 -017 -022 -027 -031 -031 -036 -036 -036
-012 -001 0014 0021 0024 0025 0030 0015 -014 //// //// //// 0034 1430 -042 0743.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// -031 0005 0022 0028 0034 0032 0028 0008 -010 -009 0036 1443 -032 1108.
-012 -015 -003 0000 -001 0000 0000 0010 0010 0003 -022 -014
0040 0020 0059 0097 //// //// 0093 0086 0068 0041 0042 0024 0104 1525 -027 0726.
0025 0034 0017 0017 0020 0020 0001 -030 -035 -037 -040 -044
-026 -018 -006 -003 0007 0014 0010 -002 -021 -036 -040 -047 0042 2028 -047 1958.
-050 -056 -058 -059 -037 -046 -052 -043 -018 -018 -016 -008
-019 -001 0025 0041 0059 0065 0066 0047 0015 -002 -009 -009 0073 1431 -062 0330.
-010 -014 -013 -012 0008 0024 0006 0001 0014 0005 0005 0019
0029 0049 0064 0087 0102 0100 0096 0095 0064 0046 0047 0039 0112 1343 -015 2206.
0046 0025 0021 0038 0033 0044 0046 0047 0029 0057 0038 0012
0037 0045 0059 0070 0080 0061 0049 0038 0022 0005 -002 0000 0085 1257 -007 1843.
-002 -005 -012 -008 -003 -010 -010 -009 -006 0005 0000 -005
0000 0014 0017 0024 0046 0057 0053 0045 0030 0023 0016 0016 0057 1351 -012 2300.
0013 0011 0036 0034 0046 0037 0039 0035 0031 0024 0023 0026
0025 0027 0020 0012 0009 0005 0007 0003 0001 0000 -001 0001 0062 0007 -001 1900.
-005 -001 -002 -008 -009 -013 -010 -021 -029 -034 -037 -039
-036 -026 -018 -018 0001 0003 0001 -014 -021 -027 -033 -035 0014 1320 -039 0800.
-034 -036 -019 -019 -021 -028 -030 -045 -042 -054 -055 -058
-047 -038 -028 -028 -023 -017 -017 -015 -032 -048 -058 -063 -011 1457 -065 0711.
-065 -067 -067 -069 -055 -047 -062 //// //// //// //// ////
//// -040 -029 -020 -015 0000 0009 0000 -002 -012 -012 -011 0013 1454 -076 0335.
-024 -022 -020 -011 -012 -035 -042 -043 -032 -027 -035 -037
-001 0011 0035 0048 0045 0037 0034 0026 0026 0014 0010 0010 0056 1154 -047 0420.
0002 0011 0013 0008 -001 -003 -009 -019 -027 -034 -041 -040
-038 -017 -012 -011 -001 0010 0002 0014 0015 0001 -013 -018 0021 2154 -044 0733.
-018 -022 -025 -017 -018 -020 -023 -014 -010 -013 0000 -007
-037 -007 0024 0041 0043 0038 0032 0014 0007 -004 -012 -009 0047 1221 -038 0835.
-010 -019 -019 0002 -006 -014 0001 0003 -001 0002 0001 0002
0012 0030 0041 0061 0081 0087 0090 0087 0079 0057 0048 0043 0097 1457 -019 2150.
0038 0032 0034 0032 0043 0045 0050 0028 0042 0032 0023 0034
0041 0051 0076 0093 0087 0097 0097 0092 0078 0058 0053 0042 0111 1423 0018 2237.
0031 0028 0030 0034 0027 0025 0016 0009 0010 0015 0018 0001
0013 0032 0052 0060 0049 0067 0072 0053 0044 0036 0033 0029 0085 1441 0001 0759.
0028 0029 0034 0025 0028 0012 0012 0002 0001 -006 0005 -007
0005 0025 0050 0068 0078 0086 0094 0083 0066 0038 0033 0040 0097 1435 -014 0617.
0032 0021 0011 0013 0011 0021 0012 0014 0020 0013 0008 0001
0016 0037 0043 0045 0051 0042 0039 0036 0030 0023 0019 0014 0060 1247 -003 0756=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 300060.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 274042 277050 263039 //////
////// 252031 ////// 328029 PPC000 098023.
081019 078012 088019 034014 120008 275010
243021 279017 040018 070011 055012 250014
047015 060011 250023 213038 214034 223044
256052 292051 287055 258028 272075 253035.
273043 ////// 276027 189018 244025 253025
290035 311009 198022 ////// 251033 273044
264037 ////// ////// 245031 274043 335027
094024 148018 225022 036019 111012 059027.
087048 092036 089030 083038 068038 074032
069041 076033 082030 085031 086020 085024
079016 ////// ////// ////// 091018 //////
////// ////// ////// 086030 061032 //////.
////// ////// 067025 079019 ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 092033 ////// ////// //////.
071013 ////// ////// ////// 108011 //////
////// ////// ////// ////// 080012 //////
////// 179010 116012 180008 195023 151007
240007 113005 083018 079016 080021 050011.
126011 PPC000 044021 299009 072011 079016
045006 032010 052018 074017 093015 025018
084013 094013 ////// ////// 090022 114029
115027 ////// 105019 118011 231007 088009.
224006 246022 257030 291022 294013 007014
013014 123005 044016 061009 074027 035022
062018 073015 078020 119029 086015 098027
083028 118025 086036 097032 078036 074027.
077013 058013 117009 111017 152005 058018
049005 114006 PPC000 104008 004009 254018
261019 228022 228020 216024 187015 109019
////// 323015 285048 329020 276021 347026.
229032 255053 106029 265045 254043 275034
315031 153035 355038 006034 325016 043027
206013 024058 309009 297019 284041 280042
291041 282043 291058 270044 270028 279011.
251027 281045 274041 259041 284073 286070
294052 273041 281048 277054 278054 271041
282049 276060 270045 286075 294055 298066
////// 301035 357053 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 232032 260059 258049
218028 175026 232004 250011 119012 243013.
243029 275028 257049 256051 250029 245035
266040 263064 262057 256059 204005 240022
273026 ////// ////// ////// ////// //////
269039 253040 138011 157011 210012 258031.
051014 293006 253040 022018 209004 156014
028011 064024 055011 359014 357007 040023
064026 124025 105022 091016 096015 107026
116031 086032 ////// 073035 106019 052015.
049018 079025 074012 322010 195008 056009
071011 259022 243015 218012 261020 259037
148006 091013 210025 188030 116020 205024
135016 109024 095018 081019 051011 111009.
240018 257017 237014 244017 250006 269026
243015 211011 257011 256011 266016 258018
263015 203010 190024 187029 159029 106034
////// 092020 106024 039024 003005 273047.
351004 071008 028010 122004 284008 271023
291011 220011 258011 347007 325010 035026
039021 070028 056039 089036 109041 093062
092062 092072 089060 082056 063075 077056.
067042 076032 079029 024030 163009 156011
226012 277009 265008 024010 097010 265004
234018 257006 076020 096013 073017 116018
093015 067018 085017 050030 082007 287015.
246022 355013 258047 020020 290069 301052
287068 272053 298066 284048 288063 346040
260046 184019 013062 323057 306044 299059
311043 288031 015036 045013 284014 190017.
187031 187019 054012 189005 159010 280007
316017 148026 172009 PPC000 083004 136004
214014 168012 128020 096014 167020 113042
070047 098062 081042 094036 104026 133010.
195011 227016 030013 293023 223023 254026
250027 065020 305025 052039 138015 201025
312024 158030 275033 271071 267068 291077
287063 271033 262041 290021 275018 249023.
////// 261034 ////// 258016 278026 313030
033020 ////// ////// ////// ////// //////
////// 216018 196025 242035 271047 244028
262028 195015 220014 352009 241006 272015.
085004 247016 268027 263041 249046 249034
251030 271026 282041 252064 245016 245027
262015 070016 269066 262049 265075 265099
253069 254062 258055 283044 130020 259020.
181040 168011 016061 277015 017020 021025
014061 262017 173016 194011 112007 235008
264049 271038 283039 279037 278045 //////
218041 219022 335022 083018 043029 037035.
033022 062016 039017 344013 264011 234008
296018 295030 287025 283020 249031 242013
079004 ////// 104007 147015 091024 091032
////// 090050 086030 ////// 062028 078019.
192013 058006 247021 260040 266042 268050
292057 272057 260034 272065 290045 288066
287070 274064 265075 256057 246072 287037
242033 274032 282019 340030 002011 251015.
256026 107015 278020 018013 340015 313026
308029 230017 243018 220015 269020 244010
////// 083008 279017 236015 182022 039013
333042 353033 358025 122005 261006 128011.
343005 213015 020010 337016 004015 026022
150016 264022 260028 252012 347016 069012
134010 123015 132015 067012 108018 072021
120032 109024 092026 070023 240011 085017.
063006 281021 283036 300052 301032 289045
336089 291039 296038 240035 262029 282026
247035 255045 245027 307022 265052 271052
291026 320028 329019 269032 247016 296036.
281026 224029 192017 215019 266027 006008
081026 015021 PPC000 328014 322028 249017
223016 176010 199042 178025 107018 109039
092040 ////// 076057 082045 066043 064038=
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 299061.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 272042 271050 273034 //////
////// 259030 ////// 319025 PPC000 102022.
092018 085013 089018 038014 117007 274008
247020 263016 040020 070011 059014 246015
062015 069012 251024 216037 221038 220046
261048 292050 283054 257030 276071 254037.
279049 ////// 273026 208019 245024 245028
278032 018013 198021 ////// 252036 274042
262035 ////// ////// 258033 259042 339028
096022 127021 224024 040017 103012 066025.
089048 088038 097032 081036 074036 083032
068042 074033 079032 088030 084021 089022
082017 ////// ////// ////// 100021 //////
////// ////// ////// 083030 063028 //////.
////// ////// 067025 075019 ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 089032 ////// ////// //////.
075013 ////// ////// ////// 098011 //////
////// ////// ////// ////// 084015 //////
////// 168010 132014 191012 179020 199007
221009 138005 082018 091015 083021 060011.
128009 PPC000 042019 280012 065010 073014
051008 039009 048019 075015 099013 030019
082014 099014 ////// ////// 090026 114026
115024 ////// 111020 118012 196006 087008.
225006 245023 256027 280021 255012 012013
017016 103007 028014 067009 075024 039023
067017 078014 091016 115028 107013 096027
084027 110025 086039 093033 079033 079026.
072016 059014 122009 110015 139005 063018
054007 116008 034004 113008 343009 252018
256018 232023 230019 210024 186013 117022
////// 345018 287041 311022 268027 300030.
245025 234040 187023 262039 256040 278033
