O2181 3421N 11113E 009810 009810 105 000 S15 91999999919999199999 0 2010 02
P=
TB
0011 0006 0001 -002 0003 0000 0002 -009 0002 0006 -017 0007
0011 0003 0000 0019 0034 0039 0054 0054 0047 0028 0014 0019 0063 1554 -022 0311.
0018 0020 0007 0008 -009 -027 -038 -044 -046 -053 -060 -059
-042 -016 0006 0024 0038 0051 0052 0049 0038 0024 0014 0016 0058 1429 -061 0654.
-002 -020 -031 -036 -041 -046 -054 -060 -064 -066 -068 -068
-059 -036 -012 -007 -003 0009 0015 0008 -002 -019 -030 -030 0018 1429 -072 0728.
-032 -018 -011 -030 -034 -022 -022 -029 -037 -004 -018 -012
0005 0029 0048 0060 0056 0056 0057 0044 0028 0008 -002 -004 0074 1230 -039 0424.
-016 -024 -028 -032 -030 -038 -034 -041 -038 -048 -047 -047
-033 -017 0000 0004 0019 0022 0008 -007 -022 -025 -031 -033 0022 1400 -051 0549.
-037 -037 -038 -037 -039 -040 -043 -045 -046 -047 -049 -048
-051 -048 -050 -051 -053 -053 -053 -053 -052 -053 -054 -056 -037 2100 -056 2000.
-053 -054 -054 -053 -051 -052 -051 -050 -051 -050 -049 -048
-039 -040 -037 -033 -026 -013 -004 -008 -020 -026 -028 -029 -003 1512 -056 2002.
-028 -027 -025 -025 -024 -024 -020 -010 -023 -024 -024 -024
-021 -016 -007 -004 -006 -012 -006 -003 -004 -010 -012 -012 -003 1549 -029 2001.
-012 -013 -014 -016 -019 -021 -023 -024 -026 -026 -026 -024
-016 -016 -018 -019 -020 -019 -018 -017 -017 -019 -021 -020 -011 2017 -027 0526.
-021 -020 -022 -023 -023 -023 -029 -031 -036 -041 -045 -056
-061 -066 -067 -070 -074 -076 -076 -076 -076 -077 -081 -087 -019 2005 -087 1940.
-091 -093 -090 -090 -090 -089 -087 -093 -090 -092 -090 -089
-085 -079 -070 -057 -065 -047 -045 -051 -051 -057 -058 -055 -034 1329 -095 2209.
-057 -057 -058 -060 -060 -060 -059 -059 -058 -060 -063 -063
-056 -040 -031 -025 -022 -014 -014 -015 -016 -032 -040 -043 -009 1638 -064 0733.
-052 -053 -053 -052 //// //// //// //// //// //// //// ////
-048 -041 -022 -045 -050 -052 -047 -052 -053 -055 -055 -055 -017 1106 -059 2123.
-058 -057 -058 -060 -061 -061 -061 -062 -062 -062 -065 -063
-053 -045 -025 -019 -019 -007 -014 -012 -020 -023 -027 -030 -001 1351 -067 0712.
-033 -036 -045 -047 -050 -053 -059 -061 -062 -063 -064 -059
-053 -052 -047 -030 -038 -048 -046 -052 -054 -056 -056 -057 -027 1150 -065 0647.
-059 -063 -073 -070 -066 -061 -059 -055 -045 -052 -050 -051
-040 -028 -012 -001 -007 -006 0000 -004 -014 -028 -035 -034 0001 1451 -078 2325.
-032 -032 -030 -028 -037 -036 -021 -028 -030 -034 -044 -051
-042 -032 -024 -021 -017 -009 -017 -018 -029 -038 -050 -053 0000 1424 -055 0750.
-054 -054 -054 -050 -055 -053 -059 //// //// -055 -057 -052
-036 -021 -005 0005 0014 0019 0033 0035 0025 0014 0002 0006 0038 1549 -061 0235.
-004 0004 -005 -003 -002 0002 0000 -003 -003 -008 -012 0010
0011 0033 0049 0070 0084 0092 0096 0100 0083 0069 0065 0041 0102 1413 -016 2340.
0059 0053 0048 0043 0042 0035 0037 0038 0030 0021 0028 0037
0055 0072 0096 0114 0128 0144 0147 0150 0153 0131 0109 0102 0157 1643 0019 0543.
0096 0091 0088 0084 0080 0084 0082 0081 0066 0064 0061 0076
0098 0129 0140 0154 0163 0171 0176 0174 0147 0120 0113 0109 0184 1520 0054 0605.
0093 0083 0077 0072 0069 0068 0074 0081 0075 0073 0071 0079
0091 0101 0125 0137 0140 0155 0154 0147 0130 0111 0099 0102 0163 1440 0063 0640.
0097 0100 0103 0102 0102 0090 0091 0087 0087 0090 0089 0100
0121 0128 0146 0162 0171 0180 0187 0179 0171 0158 0125 0101 0189 1445 0082 0634.
0095 0086 0083 0088 0095 0094 0096 0073 0085 0075 0062 0068
0084 0095 0111 0146 0146 0155 0136 0128 0124 0121 0111 0112 0166 1325 0059 0728.
0105 0099 0114 0113 0111 0111 0099 0111 0092 0091 0089 0086
0102 0132 0124 0136 0165 0156 0148 0127 0112 0093 0078 0066 0167 1259 0066 1944.
0060 0050 0046 0038 0031 0022 0017 0010 0010 0003 -003 0005
0017 0032 0054 0068 0081 0090 0088 0077 0072 0063 0058 0050 0099 1346 -003 0700.
0045 0037 0039 0035 0032 0030 0028 0026 0026 0016 0007 0013
0029 0046 0064 0090 0105 0091 0097 0086 0077 0064 0046 0035 0107 1244 0005 0652.
0023 0013 0007 0007 0008 0010 0004 -002 -003 -004 -001 0000
-001 -003 -005 -010 -012 -012 -015 -016 -015 -013 -012 -011 0034 2001 -016 1544=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
070039 195009 288008 269026 298044 291037
324024 320038 291051 303044 214024 322038
272061 296050 284047 299052 293033 240055
273057 268049 269034 016024 036036 019032.
020017 153011 120006 049026 096040 202010
047029 039018 228016 099007 PPC000 243019
////// 187017 228016 185010 149022 104030
118028 072022 091024 110013 059009 190011.
066019 091020 063030 088018 059013 053013
076014 053023 102011 056014 060006 037008
083004 208010 113017 080020 161012 096020
094019 113021 110021 093022 049010 242018.
258018 023007 229009 073013 318009 184005
032011 143007 332005 277023 232018 260014
////// 110020 188015 202030 204031 115034
080026 113031 087040 088031 070019 091015.
076020 075017 061014 053011 205011 058008
183008 259005 038033 038027 053029 069021
047023 ////// 113022 092032 097026 084047
096056 ////// 091057 067063 083056 071053.
076047 064054 070053 065039 ////// 086033
080037 072027 071029 057038 062039 060032
080035 072023 084032 096031 083034 089024
////// 093028 085025 061016 079014 084021.
071023 057016 057015 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
121015 113026 081042 087041 080034 082016.
075023 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 ////// 085027 075031 085037
072028 075027 101033 072030 071042 074050.
063055 053042 088029 103027 082028 087040
073035 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 ////// //////
////// ////// ////// ////// ////// //////
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 132015 074009 258032
276034 254013 112016 203011 309018 088008.
////// 108019 104018 105018 082027 089025
073016 062015 114017 075006 099005 055011
084007 089019 117010 097008 PPC000 PPC000
PPC000 PPC000 ////// PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 ////// PPC000 PPC000
PPC000 PPC000 PPC000 272032 241011 249008
254017 234016 122016 171013 252025 265028
260032 270032 283033 289043 268039 323037.
301059 278055 279044 198030 204025 254028
281062 301097 305057 300053 325052 292018
302054 345039 331020 300035 251055 263052
288053 294052 302039 288029 237026 241022.
231019 244021 257030 262025 253035 256031
////// ////// ////// 245029 223036 223047
225052 221036 276053 253075 264061 270068
284063 260045 295057 285019 248021 294031.
274035 281035 253016 247036 257032 276039
262039 279037 279029 268033 277029 267032
210019 217022 197030 236049 251044 275061
274056 254040 289040 226021 308047 250045.
279026 283031 272042 267031 247019 241010
265029 263039 223024 244022 234026 239025
244033 230022 220019 181023 191039 205042
154033 ////// 242027 204029 251028 285025.
272028 281031 263042 263051 257039 265044
287042 254054 241040 242051 251043 339017
265020 257041 272039 255041 219036 232035
222012 177022 078029 261025 272011 043009.
023018 065007 251020 235009 255015 042015
202013 274012 070011 236014 023015 250014
206016 209012 040022 123020 122022 052022
101027 117028 096023 079024 068022 166006.
229006 261032 264021 289037 289039 254032
277043 281035 270039 252042 274040 264058
242041 206032 224044 193021 207063 210070
217055 218065 232072 223051 098023 069027.
051020 061029 275006 010010 251030 269017
218015 148017 266008 080013 064009 006020
203015 165013 190025 286061 254033 330051
299061 306065 284022 312041 228022 303024.
288023 222032 152029 306022 354020 300035
270011 340056 288041 292043 290093 287091
340060 314032 263025 241039 282037 079033
071053 080053 068062 096035 066054 060042.
057054 064066 063058 046056 053046 066044
075018 074020 023013 121004 032008 234017
078021 053021 ////// 112021 194024 144027
108036 082059 095038 091043 078051 066057.
059049 078053 072061 090028 061021 098004
094012 125009 062010 089015 072024 047019
090013 093026 089034 112031 063039 114052
098056 091049 085045 058045 107028 075024.
083044 068060 071060 064059 055046 063051
201009 092022 081014 078027 074029 079039
064052 067047 096032 092034 093028 062014
062013 ////// 062023 PPC000 PPC000 PPC000=
065041 175010 310007 267024 297042 292037
320027 293027 289045 302046 218027 322030
269059 294059 283040 291049 307031 245053
272053 270044 266036 018023 036034 019033.
020018 141011 113006 044025 100034 167013
042028 046017 227014 117006 PPC000 242019
////// 197017 210018 181014 132024 107029
117026 082027 089023 111014 050009 189009.
073019 084019 067029 088020 060013 075012
067016 057022 101010 057013 012005 013008
121005 204007 112017 084022 141013 102019
090019 119019 108020 091025 064012 242017.
255016 016005 232008 085013 295009 PPC000
031012 117007 008006 277022 230016 257013
////// 107019 182014 200029 200032 135032
081025 118031 085040 088031 065019 086014.
076021 068019 064015 051011 197010 054010
179008 246005 038029 037026 050028 066020
049022 ////// 102021 102028 104027 084034
088052 ////// 091055 067060 077055 072049.
078047 063050 073052 065036 ////// 080030
076036 080021 081027 062040 068035 065030
077032 076024 088030 095030 083034 090025
////// 091029 083025 069017 079015 086022.
075022 057014 057015 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
132010 111024 079039 088039 078035 086017.
081023 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 ////// 085024 083034 087039
072028 075030 102032 077033 082041 073049.
064058 054043 085031 097028 083030 085036
074035 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 ////// //////
////// ////// ////// ////// ////// //////
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 124015 092011 257030
280032 247013 112017 192011 307018 085009.
////// 115018 097019 108017 082028 091024
085015 059017 123013 083006 101006 041011
074007 089019 122012 090008 PPC000 PPC000
PPC000 PPC000 ////// PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 ////// PPC000 PPC000
PPC000 PPC000 PPC000 274033 253013 262007
248017 236016 144014 172013 258024 269027
262029 271035 281034 291042 265039 324039.
303057 278055 277043 206029 212023 248027
277064 297082 304069 295047 328046 291024
301042 325035 269018 281036 250054 257048
277057 283048 293037 289030 233026 242021.
233019 241023 255030 259026 253034 255032
////// ////// ////// 248029 221038 221050
223048 224039 267053 257068 267064 271064
278053 261039 288051 274024 238019 296030.
271034 279036 253015 248036 257034 279038
264039 277035 276030 268030 267030 276033
212020 210022 197029 237045 253046 275048
274052 251036 289036 235019 308046 247039.
277025 281033 273039 267029 252018 247010
263030 266037 231026 243021 236025 241024
240031 229024 219018 191026 195039 203043
