O2186 3349N 11127E 008500 008500 105 000 S15 91999999919999199999 0 2010 01
P=
TB
-010 -014 -024 -033 -036 -044 -045 -045 -043 -040 -040 ////
//// //// //// 0144 0150 0151 //// //// //// 0038 0027 0012 0160 1417 -048 0318.
//// //// //// -010 -007 -013 -019 -026 //// //// //// -032
-015 0048 0110 0124 0126 0131 0135 0133 0080 0044 0035 0026 0140 1554 -034 0743.
0017 -002 -001 0001 -002 -006 -004 -004 -008 -006 -007 -013
0005 0065 0114 0123 0137 0147 0150 0156 0130 0077 0060 0048 0156 1528 -016 0743.
0025 0008 0002 -001 0003 -003 0000 0000 -006 0004 0012 -011
0006 0014 0030 0036 0047 0056 0050 0045 0037 0017 0005 -003 0058 1401 -016 0529.
-016 -022 -027 -037 -047 -057 -064 -070 -070 -072 -074 -073
-071 -066 -052 //// //// //// -017 -020 -022 -027 -035 -045 -003 2001 -075 0708.
-054 -061 -069 -079 -084 -088 -093 //// //// -098 -099 -104
-085 -065 -049 -022 -010 0008 0017 0013 -001 -017 -035 -045 0018 1508 -104 0759.
-058 -063 -068 -071 -079 -085 -088 -091 -086 -080 -079 -077
-073 -067 -058 -051 -038 -030 -030 -026 -022 -027 -036 -042 -022 1658 -091 0356.
-054 -065 -074 -079 -083 -085 -084 -089 -089 -094 -092 -089
-076 -056 //// //// 0055 0066 0073 0065 0050 0001 -021 -032 0074 1505 -095 0638.
-041 -048 -051 -054 -058 -057 -054 -063 -070 -070 -071 -073
-066 -045 -036 -023 -018 -007 -006 -003 -013 -023 -030 -035 -002 1604 -078 0725.
-041 -043 -056 -053 -058 -062 -066 -072 -077 -082 -083 -081
-067 -049 -034 -022 -001 0017 0024 0025 0015 0002 -014 0005 0031 1518 -085 0735.
0004 -015 0001 0000 -002 -025 -040 -036 -005 -017 -022 -026
-010 0002 0016 0020 0030 0018 0021 0021 0011 -001 -005 -005 0032 1257 -047 0326.
-015 -024 -035 -041 -046 -015 -028 -045 -040 -028 -055 -066
-042 0011 0023 0036 0050 0053 0062 0052 0038 //// //// //// 0062 1425 -071 0739.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// 0012 0026 0042 0049 0061 0046 0025 0004 -023 -031 0064 1428 -031 1952.
-049 -059 -066 -059 -066 -070 -066 -067 -066 -062 -068 -072
-037 0003 0065 0127 //// //// 0144 0136 0120 0068 0040 0026 0148 1447 -076 0131.
0016 0006 -005 -009 -017 -027 -035 -040 -048 -053 -059 -056
-040 -013 0010 0029 0048 0049 0058 0055 0039 0015 0001 -021 0059 1446 -060 0523.
-036 -042 -047 -055 -059 -063 -067 -069 -070 -070 -073 -071
-044 0015 0062 0087 0095 0109 0106 0103 0080 0051 0011 -005 0115 1406 -078 0716.
-009 -013 -024 -030 -038 -034 -035 -039 -037 -037 -039 -036
0000 0043 0077 0123 0129 0143 0145 0133 0113 0071 0034 0027 0151 1448 -045 0730.
0009 -002 -009 -014 -018 -021 -025 -028 -030 -031 -032 -025
-007 0031 0078 0112 0133 0140 0134 0120 0101 0084 0072 0069 0145 1341 -033 0633.
0069 0066 0069 0067 0062 0058 0058 0048 0045 0043 0036 0032
0033 0045 0070 0083 0107 0108 0120 0115 0097 0089 0074 0066 0122 1511 0031 0815.
0062 0054 0051 0049 0047 0074 0076 0071 0067 0065 0060 0060
0060 0057 0057 0052 0043 0035 0030 0024 0014 0003 0002 0005 0079 0234 0002 1900.
0008 0005 0005 0006 0008 0006 0002 0002 0006 0005 -007 -009
-008 -004 0003 0022 0033 0037 0029 0023 0019 0011 0001 -005 0046 1248 -009 0800.
-009 -010 -010 0000 -003 -003 -008 -010 -012 -013 -018 -021
-026 -019 -006 0008 0013 0020 0028 0029 0017 0002 -015 -021 0033 1509 -028 1926.
-034 -046 -055 -064 -069 -074 -083 -085 //// //// //// ////
//// -016 0009 0011 0010 0021 0033 0035 0029 0023 0020 0017 0035 1559 -087 0406.
0012 0008 0000 -020 -031 -036 -040 -039 -041 -038 -042 -042
-025 0020 0065 0080 0074 0092 0076 0079 0071 0059 0050 0029 0097 1334 -045 0723.
0023 -003 -015 -017 -010 -016 -009 -019 -030 -045 -051 -045
-024 0015 0025 0031 0044 0053 0065 0070 0059 0041 0027 -009 0075 1546 -055 0648.
-020 -029 -029 -027 -032 -033 -033 -029 -024 -023 -025 -019
-003 0029 0058 0072 0079 0081 0082 0069 0052 0039 0030 0026 0085 1319 -037 0141.
0027 0018 0014 0013 0023 0011 -014 -013 -012 -015 -014 -014
0007 0043 0061 0083 0101 0117 0123 0127 0105 0067 0040 0019 0132 1519 -016 0334.
0004 -005 -011 -016 -013 -010 -002 0004 0014 -005 -006 -012
0003 0043 0070 0097 0101 0102 0112 0116 0104 0066 0039 0019 0118 1441 -017 0010.
0004 -005 -012 -012 -010 -010 -007 -007 -011 -012 -018 -024
-010 0016 0031 0052 0077 0093 0089 0080 0076 0071 0067 0063 0099 1409 -027 0717.
0060 0061 0061 0041 0045 0044 0009 0001 -009 -014 -022 -024
-006 0043 0071 0091 0099 0117 0121 0119 0102 0077 0044 0037 0126 1450 -026 0751.
0025 0022 0016 0011 0005 -001 -008 -011 -010 -017 -025 -029
-015 0005 0037 0059 0059 0063 0063 0062 0058 0051 0046 0040 0065 1340 -029 0629=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 259028
////// ////// ////// ////// ////// 244016.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 240020
////// ////// 254032 300018 245033 //////
////// 283013 ////// 238009 305026 303033.
313026 254011 325012 299034 296030 312028
292029 294034 300035 297042 302033 307025
281017 287006 135013 228023 336018 294019
262029 313009 317019 254016 239022 237024.
177006 ////// 082006 217007 246014 231014
295017 217013 227008 ////// 002031 314010
266016 ////// ////// 266038 279036 325018
299020 294020 015014 137021 112018 097025.
127010 093015 112017 083023 108014 138022
120018 136008 118018 084023 146018 125012
112018 ////// ////// ////// ////// //////
////// ////// ////// ////// 100009 //////.
////// 127013 ////// ////// ////// 221012
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 125026
////// ////// ////// ////// ////// 137008.
275009 ////// ////// ////// 300013 //////
////// ////// ////// ////// ////// //////
////// 114012 125005 099013 137006 071012
075018 052014 041011 348008 322011 096016.
279010 274010 296008 237012 243010 307011
138006 358009 139009 PPC000 350006 076014
043007 067029 ////// ////// 193083 184038
198068 ////// 207040 104044 120023 090012.
297011 250011 280008 275011 281012 235011
275008 PPC000 PPC000 199007 029009 027013
068008 068014 127013 057012 126023 139018
098022 092025 129027 116018 140010 122015.
146015 165011 296014 265007 280013 261005
287011 250007 267007 276009 266006 243011
234008 PPC000 116008 101009 257008 256009
////// 122017 092010 083010 043009 320015.
326018 225010 343011 303021 307013 288006
198016 307017 296025 283011 247010 213008
300020 280025 273027 305039 304020 069023
298012 312026 307032 360014 341012 025018.
120008 110012 PPC000 195009 227013 317016
231019 284008 271008 284014 234008 206014
254012 282027 276041 268066 272046 279063
////// 012044 346026 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 314042 287036 264021
268022 210035 201043 217031 291026 293022.
271008 122006 151007 267012 277016 291008
223016 231028 208037 226023 226021 266013
224017 ////// ////// ////// ////// //////
281029 269022 299006 346010 291030 274012.
230012 235010 245018 228015 258011 236011
245012 259008 238010 240017 302010 227018
232011 PPC000 131021 119025 107012 083032
107023 094023 ////// 150013 158006 313014.
274007 309007 228009 244009 215009 227010
232009 223018 242014 245018 235012 236018
247011 256004 360006 201030 201040 040010
195031 227038 218026 136016 281017 232017.
223020 250015 247009 300011 225012 243019
230019 235017 216019 180009 224009 240015
284019 268028 080013 PPC000 169018 208026
////// 196039 205036 233013 271017 251019.
220020 245013 245014 241016 229018 244011
232018 284008 248018 222022 256017 250018
195008 098010 083016 093043 166031 223039
212049 249053 194055 184027 224028 178025.
144032 073020 133030 188025 228041 257008
232015 PPC000 210014 165006 128019 117007
286007 041009 223010 179012 114011 151012
256008 231017 105016 105020 122012 100007.
033008 215007 154005 222007 282006 320025
335025 304022 331023 356014 335007 006012
056009 045030 340004 287015 292026 325034
325011 330027 337019 321020 260013 331015.
311007 206008 242006 004006 325012 325006
294007 019007 305013 345008 125018 112008
097017 123021 077020 075021 132010 116016
147033 193023 087025 116026 089020 081014.
159011 141007 275005 020044 333023 318022
317025 333014 268029 303012 005040 326029
008021 007030 264038 347035 278018 330031
262021 293032 273023 315013 288009 321018.
////// 231009 ////// 216014 236023 262018
230018 218015 ////// ////// ////// //////
////// 255006 064005 196046 189049 202013
206021 219015 204021 195022 190024 214018.
209029 219032 243015 336010 216018 241015
253012 240016 244019 218023 222024 239017
227026 255005 046014 285023 275050 282030
256031 344035 036033 032020 001023 336012.
289010 258005 198011 238013 234010 134007
294023 291011 302014 212006 209008 232011
223014 102005 001007 006011 270022 //////
281017 133012 186034 183035 151024 318007.
269008 281008 294020 ////// 268026 288019
273035 275040 284039 277034 308017 286027
274023 ////// 227017 202054 197045 215052
////// 241039 240045 ////// 186028 131030.
170025 093005 287014 300008 276038 310012
198025 230018 218020 223019 235011 225011
013006 335023 293044 298034 291030 223018
268031 279022 297007 264016 255009 231014.
248012 242014 247017 258007 242014 247013
273013 PPC000 222019 210024 253012 238010
////// 056006 016008 077016 089016 088025
088022 088020 116020 288017 280017 229016.
223019 248013 234020 233009 241014 219021
233012 259010 257012 223013 274011 234012
269007 085005 PPC000 252006 106023 156024
222025 233032 188040 196026 158039 183030.
200025 235031 251031 ////// 305013 245019
231007 222012 260009 226026 243012 215022
222015 164007 068015 122014 061024 326019
355010 297021 113020 143013 266009 287011.
233014 223013 222011 230018 245016 242018
224020 229018 240022 231015 210019 225013
239016 330005 PPC000 137013 080010 075017
103017 ////// 115020 129031 097017 121010=
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 259035
////// ////// ////// ////// ////// 244016.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 238020
////// ////// 258033 300026 272032 //////
////// 328010 ////// 242010 304023 310025.
316025 251012 318015 302033 296032 315028
293029 288036 299036 297040 306027 302030
296016 331005 127015 258028 314027 285026
267029 303011 299022 257018 247018 243022.
205009 ////// 279007 212008 248013 212014
280016 223013 234007 ////// 356029 317011
289015 ////// ////// 264036 272045 325023
325031 307022 358016 138019 118015 104020.
118016 090017 102013 105020 119014 140021
124017 130009 118018 091022 149015 125011
113017 ////// ////// ////// ////// //////
////// ////// ////// ////// 086006 //////.
////// 134013 ////// ////// ////// 220011
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 121027
////// ////// ////// ////// ////// 126009.
285010 ////// ////// ////// 300014 //////
////// ////// ////// ////// ////// //////
////// 092012 099005 093013 093006 076012
077016 053013 088010 002007 312010 107015.
269009 278010 278007 236011 241011 295012
164007 010007 179008 PPC000 359008 073012
028010 059025 ////// ////// 189082 173042
198065 ////// 214040 108037 116022 107014.
302012 261010 279008 277010 266011 243011
272008 PPC000 105004 192007 024008 038016
059007 062012 124014 076013 127022 124017
104027 097022 118025 108017 132015 129016.
129016 174011 288013 261006 285012 261004
297008 257008 266007 283008 246008 241010
231009 031004 101007 098011 214007 256007
