O2200 3453N 11206E 004630 004630 105 105 S15 91999999919999199999 1 2008 02
P=
TB
-035 -034 -040 //// //// //// -048 -049 -050 -051 -056 -053
-043 -021 0002 0026 0014 0026 0018 0014 0004 -014 -017 -022 0030 1143 -057 0702.
-025 -033 -039 -036 -049 -053 -064 -065 -065 -074 -077 -074
-040 -011 -006 0012 0039 0034 0037 0031 0029 0000 -007 -012 0052 1431 -078 0726.
-021 -032 -032 -031 -035 -034 -044 -045 -053 -058 -057 -058
-031 -006 0003 0015 0031 0046 0043 0038 0022 0004 -006 -010 0049 1420 -063 0642.
-013 -018 -020 -023 -031 -033 -036 -031 -039 -042 -047 -042
-026 -008 0012 0009 0017 0025 0026 0024 0017 0009 0007 0007 0031 1408 -050 0629.
0005 -001 -004 -013 -016 -017 -022 -025 -030 -037 -039 -040
-020 -006 0004 0018 0018 0031 0028 0020 0007 -007 -015 -019 0039 1403 -043 0723.
-025 -034 -031 -047 -049 -051 -052 -056 -065 -075 -069 -063
-047 -021 0005 0019 0017 0028 0020 0028 0019 -001 -010 -010 0039 1423 -076 0607.
-008 -014 -018 -020 -026 -035 -037 -041 -031 -049 -048 -045
-027 -007 0023 0034 0047 0054 0046 0037 0026 0016 0011 0006 0059 1347 -052 0629.
-002 -010 -015 -024 -029 -033 -040 -045 -048 -052 -055 -056
-046 -036 -025 -018 -013 -005 -009 -009 -014 -023 -027 -027 0006 2002 -057 0723.
-029 -031 -032 -040 -037 -041 -049 -059 -057 -066 -066 -063
-048 -040 -027 -016 -017 -008 -008 0000 -004 -011 -024 -033 0008 1618 -068 0724.
-037 -035 -035 -045 -042 -043 -044 -048 -044 -044 -044 -041
-014 0010 0024 0047 0044 0055 0048 0044 0048 0022 0012 0012 0062 1307 -052 0240.
0007 0001 0003 -018 -015 -022 -024 -021 -024 -025 -023 -023
-003 0013 0025 0036 0047 0052 0058 0049 0035 0027 0024 0023 0061 1508 -028 0544.
0017 0010 0005 -001 -005 -007 -016 -023 -026 -032 -037 -036
-028 -018 -013 0008 0020 0024 0034 0036 0026 0011 0001 -005 0046 1512 -039 0716.
-010 -010 -015 -016 -031 -033 -029 -029 -037 -040 -043 -040
-018 0004 0018 0040 0040 0038 0054 0051 0041 0031 0022 0020 0057 1417 -047 0632.
0010 0008 0007 0005 0002 -005 0001 -002 -002 -005 -008 -008
0022 0039 0056 0066 0081 0078 0096 0082 0067 0045 0035 0035 0096 1459 -012 0613.
0027 0017 0008 0004 -003 -011 -018 -015 -014 -018 -028 -017
0000 0014 0040 0050 0061 0063 0074 0063 0058 0041 0030 0026 0078 1502 -030 0708.
0016 0020 0020 0018 0019 0010 0004 0003 -001 -004 -006 0001
0012 0031 0049 0059 0072 0076 0068 0075 0060 0039 0036 0026 0081 1402 -010 0623.
0022 0015 0014 0012 0005 0003 0002 0001 0003 -006 -010 -002
0007 0020 0032 0036 0044 0043 0042 0040 0035 0031 0030 0028 0048 1404 -011 0655.
0026 0022 0015 0008 0008 0011 0012 0015 0013 0012 0010 0009
0018 0031 0032 0053 0060 0069 0073 0070 0064 0044 0033 0029 0080 1435 0008 2358.
0027 0020 0020 0018 0029 0023 0000 -004 -008 -003 0005 0011
0039 0065 0080 0088 0099 0110 0104 0101 0087 0075 0068 0065 0114 1403 -010 0514.
0064 0064 0059 0046 0041 0041 0030 0031 0026 0019 0008 0017
0045 0077 0091 0112 0114 0131 0139 0124 0120 0101 0088 0079 0143 1452 0005 0716.
0059 0065 0050 0042 0028 0029 0022 0019 0011 0010 0003 0013
0024 0072 0095 0125 0150 0172 0182 0189 0170 0147 0127 0115 0192 1521 -003 0713.
0109 0101 0092 0082 0076 0071 0060 0062 0062 0068 0094 0106
0111 0127 0137 0147 0157 0161 0171 0170 0163 0093 0065 0050 0175 1506 0050 0245.
0043 0034 0032 0028 0024 0018 0021 0021 0011 0016 0013 0015
0028 0038 0048 0053 0059 0055 0048 0043 0033 0023 0017 0012 0066 1250 0010 0731.
0011 0006 0002 -001 -004 -004 -008 -023 -026 -025 -022 -020
-021 -023 -024 -025 -023 -029 -034 -040 -041 -043 -043 -043 0012 2002 -044 1840.
-043 -042 -043 -053 -057 -057 -057 -062 -061 -063 -057 -056
-037 -031 -006 0012 0037 0042 0039 0049 0056 0055 0054 0051 0058 1745 -066 0533.
0046 0044 0045 0044 0045 0038 0035 0030 0026 0026 0018 0021
0022 0032 0041 0050 0055 0061 0066 0069 0062 0054 0042 0039 0071 1509 0017 0707.
0039 0031 0034 0029 0032 0034 0039 0038 0029 0014 0001 0042
0059 0088 0091 0099 0112 0130 0134 0129 0133 0100 0087 0081 0144 1537 0000 0619.
0067 0067 0063 0064 0066 0072 0081 0062 0058 0044 0062 0073
0105 0114 0123 0126 0136 0140 0141 0145 0140 0127 0115 0106 0148 1553 0040 0607.
0104 0111 0096 0099 0104 0101 0096 0092 0082 0065 0081 0089
0107 0122 0148 0159 0160 0173 0179 0160 0158 0142 0123 0108 0184 1527 0061 0556=
I=
E=
U=
N=
H=
C=
V=
R6
0=
0=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
PPC000 050005 PPC000 ////// ////// //////
357004 173005 033007 305009 239013 248011
292003 085005 055008 147010 135015 169011
121013 126008 103009 157003 035010 302014.
309012 044010 310015 301013 236013 081006
143008 235009 246007 036003 PPC000 PPC000
263008 128005 152014 147014 221009 079011
120017 125011 130010 174005 313013 257010.
300007 115008 138004 216008 185005 061009
167007 190004 155010 156010 326003 321007
113007 123009 108014 089013 105014 111016
152015 146016 117018 117005 219004 298011.
355007 338006 351008 353013 313006 309011
323007 310012 316009 303009 300005 299009
PPC001 071008 106010 122013 133009 135007
125013 111012 128009 305031 261020 269016.
313048 297027 317081 312041 312043 317074
315068 312032 298042 303023 255024 234018
148014 149007 224009 155015 103036 168010
219004 109014 114014 049005 044005 316018.
282009 271010 184003 042010 020007 025008
267017 PPC002 030010 270009 262008 122009
080007 051007 143009 151017 103013 148019
095015 208013 137008 123011 259006 284010.
297014 264014 251019 220009 104005 036012
305012 262010 316012 148006 218008 118013
225004 244013 143013 271009 162015 271010
303038 320033 317057 314029 317037 317076.
312054 022029 316075 249016 317053 315054
315043 311034 308051 312057 305043 320042
315066 313061 312058 321060 305058 313053
321063 310052 318056 314066 309038 317056.
319076 323042 312034 247012 315026 311015
092009 126011 126010 187005 127011 247009
244009 318004 104008 171010 192007 250009
245019 140010 112005 110004 PPC001 306009.
PPC000 315006 209006 174011 251009 281007
042021 191006 222009 183011 172006 227010
141007 146014 136012 123018 298010 127007
132022 148019 197003 002007 293011 314020.
028006 313021 311021 085003 155003 031005
269012 332006 202006 279015 264007 105010
267007 089008 229013 156012 129010 167009
170011 322013 303022 315050 315063 318067.
310062 298040 313067 311046 320026 307045
315041 314033 309014 162008 127013 117017
075010 110029 102023 226012 208015 287011
120011 130021 126011 149015 111012 112013.
PPC000 298008 307009 077012 183009 261012
302010 330009 PPC001 087006 130009 224004
157004 153012 122015 212011 040005 122011
190016 140013 312030 313043 313032 299015.
311027 313021 305038 312028 303025 273026
305032 067012 307039 285017 308025 241010
133011 029026 267010 250020 253013 002013
050010 281016 297016 085007 312012 316022.
301014 310013 312008 276008 144009 074007
096003 291014 292009 350004 102006 044006
266004 025011 164009 129016 116028 106033
119019 117026 111017 083008 059007 167005.
306013 292003 313012 029010 354010 342006
008010 031014 PPC002 PPC001 090007 031011
165007 162013 143014 125016 103013 152012
110030 157019 105029 126009 095016 257005.
062005 155005 201005 037021 037018 328007
325010 303011 044018 064014 021006 108016
105028 108025 126029 092034 109039 117028
094055 108044 099050 105021 107025 109022.
113032 095031 109010 054015 029008 330009
029015 043019 052012 112006 120009 074010
136008 039010 113015 073008 171010 006010
151015 115007 150010 037006 336004 351005.
116011 314011 305013 319008 331013 282019
144006 070005 260012 258011 091008 149008
086007 315042 298044 293062 319057 272047
316051 262042 317041 306022 313033 309028.
316035 327051 314027 296016 309011 304008
112007 042009 050006 061007 271010 102007
154007 240004 135014 110015 319012 117014
143020 115029 131014 108005 PPC000 082008.
048011 041016 136003 328004 PPC001 238010
140003 024009 037007 057004 258012 206009
058007 137009 107013 135017 149013 139013
110028 161014 122017 125012 229009 297016.
226009 152008 104008 318008 035010 PPC001
247004 239015 095007 115016 294029 317056
290031 316050 315050 314066 308045 313047
042031 015013 047020 107040 009011 099010.
016006 180007 001011 024013 033007 324009
274006 041015 048007 049013 100017 098008
110034 098049 115048 105049 114046 107068
105057 112083 106075 112062 100073 110049.
112031 103047 109039 116030 101022 106027
107041 104024 103039 139020 096038 115035
111034 110040 109032 117027 125015 131015
101023 109037 118015 104011 309008 094003.
112003 256005 258005 234008 268010 309007
302007 300006 045011 053011 113005 241008
319003 250008 185012 142013 173014 312061
321078 317050 317047 319041 321061 304031.
305031 296023 297032 317031 312030 317046
316049 317050 308045 318065 310033 317046
322046 318061 307054 313052 314050 299056
299048 319040 323054 320052 315035 319024.
298018 291019 289018 275017 295021 324027
320023 319044 137008 253006 269009 301014
132015 143016 315040 309026 248019 085013
028015 187008 135008 320034 318039 310025.
182011 294011 284012 304018 311012 279016
315044 255013 259010 091005 313028 077008
298017 314041 299056 316065 313062 314065
315044 303038 311034 278030 271027 267030.
270036 307029 261017 307021 307021 299020
311033 309017 310029 270013 310037 303034
310013 116025 110013 086016 343017 086026
188021 110021 096009 053007 002005 PPC001=
PPC001 070003 PPC001 ////// ////// //////
331006 201007 006003 304005 241011 248012
312004 110005 041006 131009 122012 135007
123012 131008 109008 PPC001 022006 302013.
310012 036008 306012 308017 242012 070005
150006 245009 232006 051004 PPC000 PPC002
257005 131006 146012 150014 216008 089008
116014 119014 134008 157006 314010 273010.
018006 152009 132006 215010 265003 052007
189007 167010 150009 154009 251006 187005
144004 124008 111014 103015 099015 123014
127013 137016 119015 113006 206005 305012.
331006 006006 357008 015011 322007 305011
324008 312009 317008 306007 287007 311007
PPC001 075009 106009 118013 120011 115007
119009 129011 156006 300013 269020 286018.
307031 301039 316058 309038 312040 315075
315071 312035 308042 307024 283035 268029
179013 174010 219011 141013 108023 098010
057006 109015 111015 005006 092009 315019.
294008 263011 098007 067007 023007 028008
274017 309003 037013 268012 255010 114009
062009 084006 144010 147014 106014 146016
104020 203012 141013 125010 PPC002 284009.
