O2200 3453N 11206E 004630 004630 105 000 S15 91999999919999199999 1 2008 11
P=
TB
0118 //// //// //// //// //// //// //// //// //// //// ////
//// //// //// 0209 0215 0216 0206 0207 0200 0183 0167 0168 0223 1354 0116 2001.
0163 0142 0124 0141 0112 0108 0093 0095 0080 0080 0078 0095
0133 0175 0181 0209 0225 0253 0247 0233 0208 0199 0174 0171 0253 1400 0075 0552.
0151 0151 0147 0146 0120 0123 0106 0100 0093 0084 0096 0103
0121 0159 0175 0185 0192 0185 0184 0173 0156 0137 0130 0129 0202 1250 0081 0643.
0125 0123 0121 0119 0120 0120 0117 0110 0097 0096 0091 0109
0129 0160 0179 0187 0206 0212 0214 0205 0173 0164 0146 0144 0222 1447 0088 0538.
0139 0134 0136 0128 0121 0122 0131 0121 0127 0118 0109 0131
0153 //// //// //// 0213 0218 0222 0207 0195 0182 0179 0174 0235 1243 0107 0707.
0172 0159 0155 0156 0157 0161 0157 0151 0139 0131 0119 0121
0137 0151 0188 0187 0204 0179 0172 0169 0161 0162 0160 0161 0210 1257 0113 0727.
0168 0150 0161 0136 0142 0133 0134 0128 0125 0125 0120 0119
0140 0140 0163 0169 0176 0180 0175 0155 0144 0132 0129 0116 0185 1441 0114 0725.
0108 0091 0089 0083 0076 0079 0070 0072 0067 0066 0071 0078
0083 0091 0106 0110 0133 0144 0132 0132 0113 0100 0091 0091 0147 1428 0062 0612.
0084 0085 0083 0082 0080 0078 0075 0072 0070 0068 0067 0067
0068 0069 0071 0072 0078 0078 0079 0081 0073 0067 0066 0064 0092 2001 0062 1954.
0063 0053 0061 0059 0060 0063 0064 0063 0063 0064 0063 0067
0075 0081 0109 0103 0113 0124 0117 0106 0094 0082 0078 0067 0127 1401 0052 2146.
0069 0065 0059 0060 0051 0055 0055 0065 0054 0055 0056 0064
0079 0088 0096 0120 0120 0125 0121 0127 0107 0096 0101 0087 0144 1431 0049 0052.
0086 0072 0067 0071 0069 0070 0066 0061 0062 0065 0061 0072
0081 0094 0109 0108 0120 0119 0116 0110 0105 0100 0098 0095 0120 1257 0055 0429.
0098 0100 0099 0097 0093 0096 0095 0090 0097 0100 0095 0101
0120 0128 0136 0140 0138 0133 0133 0135 0121 0118 0118 0114 0141 1159 0089 0322.
0110 0106 0101 0094 0088 0081 0075 0075 0074 0073 0074 0075
0078 0080 0085 0085 0084 0080 0082 0082 0081 0081 0076 0073 0116 2003 0072 0514.
//// //// //// //// //// //// //// //// //// //// //// ////
0094 0113 0126 0138 0142 0127 0119 0120 0107 0101 0103 0095 0158 1235 0072 2019.
0091 0097 0100 0094 0085 0083 0077 0066 0053 0051 0048 0051
0074 0113 0131 0133 0147 0159 0138 0133 0120 0120 0112 0105 0162 1405 0040 0723.
0110 0106 0099 0085 0098 0097 0099 0094 0091 0089 0081 0082
0088 0098 0104 0116 0113 0129 0140 0122 0104 0089 0063 0049 0146 1456 0044 1944.
0040 0033 0029 0030 0024 0047 0050 0053 0044 0037 0030 0040
0059 0068 0071 0075 0082 0081 0081 0078 0070 0058 0051 0051 0086 1342 0022 0017.
0043 0047 0038 0038 0031 0036 0035 0034 0032 0026 0021 0040
0056 0071 0080 0096 0093 0103 0104 0095 0083 0074 0056 0047 0112 1340 0020 0658.
0054 0033 0049 0043 0038 0031 0015 0009 0009 0009 -004 0006
0044 0072 0108 0134 0160 0155 0169 0149 0113 0087 0083 0083 0174 1505 -008 0711.
0077 0077 0065 0052 0035 0038 0029 0025 0026 0014 0022 0032
0056 0102 0110 0129 0127 0138 0123 0112 0102 0092 0091 0087 0140 1348 0013 0559.
0085 0082 0082 0077 0072 0069 0070 0068 0071 0067 0069 0067
0074 0106 0123 0124 0134 0132 0137 0122 0109 0096 0095 0095 0151 1235 0062 0631.
0086 0071 0065 0058 0061 0060 0064 0065 0064 0067 0068 0067
0072 0086 0105 0113 0135 0125 0118 0107 0095 0088 0080 0062 0140 1431 0054 0028.
0055 0054 0051 0052 0049 0039 0046 0035 0052 0038 0028 0032
0066 0103 0132 0144 0134 0135 0132 0125 0110 0103 0094 0086 0151 1207 0025 0656.
0078 0074 0049 0051 0055 0064 0061 0060 0056 0053 0040 0041
0073 0094 0113 0117 0118 0135 0134 0115 0101 0087 0074 0065 0139 1454 0035 0706.
0066 0064 0054 0050 0051 0036 0041 0039 0053 0044 0046 0060
0091 0096 0100 0101 0105 0098 0089 //// //// 0064 //// //// 0108 1254 0030 0237.
0042 0036 //// //// 0027 0026 0023 0018 0016 0010 0003 0009
0024 0035 0053 0065 0069 0072 0075 0074 0063 0053 0039 0029 0084 1423 0000 0720.
0030 0029 0017 0007 0008 0011 0001 0008 0006 0017 0047 0035
0069 0094 0092 0101 0100 0101 0106 0104 0100 0093 0100 0094 0109 1446 -002 0441.
0101 0100 0100 0101 0096 0090 0089 0089 0089 0062 0074 0078
0096 0109 0126 0130 0134 0143 0146 0136 0127 0113 0104 0103 0148 1434 0056 0609.
0098 0069 0069 0072 0068 0078 0053 0037 0037 0046 0026 0033
0072 0099 0151 0160 0172 0187 0177 0171 0149 0121 0115 0124 0194 1402 0023 0735=
I=
E=
U=
N=
H=
C=
V=
R6
0=
0=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
PPC001 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 313062 313055 317056
315080 317072 313054 302019 265016 294023.
305020 PPC002 318006 318009 118007 060006
188008 136006 297004 300007 247011 040006
105009 144011 128012 072010 133017 076008
306012 282030 309014 277021 325011 317022.
270013 024007 233010 311018 182003 287010
098015 107006 250004 256013 300010 062007
PPC000 058011 107037 123033 121025 102047
119031 111049 097031 107016 090013 101011.
045007 037007 348004 002003 335007 315021
309009 311011 209011 318017 044012 169003
010003 136014 081011 213014 237009 168017
130008 182007 158013 239018 037003 324007.
////// 157008 308011 037007 188009 256011
300005 052007 046014 ////// 248017 255015
352004 ////// ////// ////// 042012 //////
241012 310010 ////// 300013 316029 313028.
300028 284008 269009 240008 289007 289025
317032 309022 261013 262015 093009 076009
112010 195008 272008 143010 135017 137018
118009 094009 308009 315015 293014 315026.
317028 275008 320024 134010 333010 132011
184007 175008 310010 008009 149011 307013
264004 122010 278006 265009 151011 116015
122023 119030 104038 105022 110014 106015.
087024 109011 059010 063008 069012 020016
094009 018017 305004 059008 092009 105020
109008 106015 110014 103014 092021 125012
105019 109020 109013 101024 103015 097021.
100014 099036 103025 120030 105021 102020
103029 109029 108016 103024 106033 129014
105016 108029 112030 104017 037009 104021
103008 101008 106009 120012 110011 104013.
101011 PPC002 121004 057004 PPC002 PPC000
339006 PPC000 048005 046010 027005 125008
115011 089015 100019 107024 115031 109011
111036 109019 111021 102013 098015 095007.
063010 003010 052008 317018 303006 334008
304010 305009 315006 305009 113008 141007
289007 209008 129016 138016 151010 146010
138012 126009 PPC001 242009 220006 228009.
262008 PPC000 162003 286009 303012 292005
265009 124006 104005 111004 042005 110009
038004 245007 131003 149012 105021 101007
086009 134011 113010 082006 106005 304004.
319011 318012 315011 262008 250010 265008
254015 271014 253016 084003 PPC002 213004
304013 313022 165007 154006 222012 231006
180009 163010 214005 293009 317013 350006.
113013 269011 310011 307018 ////// 046008
PPC000 279007 313005 PPC001 241010 278011
012003 112011 121003 050004 054005 309004
041004 041006 040012 111012 107021 096011.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
304019 176014 242006 184015 225003 241022
231019 231023 263019 294019 315018 266014.
293006 308007 303013 194003 322009 185007
119010 PPC002 PPC000 040013 259004 286004
271010 175010 224015 139007 128010 247012
204018 233015 291010 302024 271021 230011.
312027 319053 299026 273016 303027 292031
321035 317036 317038 318028 308024 304019
311028 316022 308027 314026 317054 316026
008008 ////// 320029 317012 096014 071012.
326008 143008 021005 233004 315009 314025
304032 314045 312048 310033 311018 293015
302015 320043 314069 313084 320044 318063
319056 317041 303038 309024 307021 293018.
310014 309021 308020 305022 302023 302020
314024 315029 312022 314012 300018 304027
304049 285028 320040 309024 320062 314042
314023 315032 294021 305036 326006 299012.
310030 204011 321014 317025 310022 307014
PPC002 PPC001 205003 041008 PPC000 046008
186006 241006 142010 261010 111013 106021
084009 106013 113013 041004 044007 268010.
188007 312009 307010 301009 018005 271014
099006 269007 203006 331011 030007 208003
204006 119010 117013 111024 115038 111039
114033 103031 105035 102010 097014 120009.
065013 115006 037018 039012 306009 309008
314012 312007 029005 304013 292010 062005
237007 142010 199007 142012 145014 208017
131010 120007 235003 301006 296011 041005.
264011 246010 286008 221007 207007 272011
298007 321004 291016 286012 274011 PPC002
239005 144005 135009 178007 219009 146011
133014 117014 105007 115010 099009 279006.
106003 323008 253010 281010 273005 348008
315014 087008 313010 216008 036013 226009
073003 073008 304062 298040 312041 315070
314054 322072 317026 318041 319033 320031.
305022 280012 137010 356009 228019 315043
300033 299054 300026 304036 225011 154011
327024 286016 045011 183009 323035 273030
300023 310031 267014 306014 045010 169006.
247013 000005 088006 PPC002 303009 PPC000
278010 129004 298007 063014 178017 248012
307042 ////// 316054 316037 319069 319076
319085 ////// ////// 300034 ////// //////.
320034 319039 ////// ////// 307037 307052
311030 330048 313041 312043 272020 311022
304044 321075 313050 290021 318061 324053
317040 321044 297036 300015 258011 277013.
263011 248010 037009 PPC002 105005 161007
177009 226013 289012 319013 039017 153008
265031 268030 301077 303059 304072 306048
280031 291036 299047 311018 313038 307028.
317039 297043 314045 316058 313052 312047
318053 325066 310055 146015 317031 320026
322052 312044 308025 316051 327049 315041
317054 319048 312050 305029 272019 304037.
300028 154010 069011 025013 319024 318031
073007 262010 172007 287010 282006 049008
101007 221011 088012 157011 136014 120012
310037 271023 302014 262015 300017 323019=
111005 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 311049 308055 314048
313071 316072 311060 299020 273015 300016.
301016 144003 320005 335009 151007 066005
148008 098012 278004 287007 256012 354007
096007 132011 111010 105006 133016 053007
307012 279030 305013 295031 314009 317022.
279017 022008 245011 309012 206004 291011
106010 110008 198006 281004 293014 082009
246004 047011 106034 119036 116035 104044
109033 108040 098028 090017 090011 099014.
057010 058008 034005 050006 354003 313018
303010 332009 214010 317013 041011 PPC002
078006 123011 118012 149016 234009 169014
200012 160009 144013 234016 PPC001 311005.
////// 146008 306010 027006 168010 262010
293010 052007 037010 ////// 243015 268019
338004 ////// ////// ////// 052017 //////
200013 310015 ////// 307013 313025 305027.
301025 292006 270009 260009 301010 278021
316031 302023 265013 264014 093003 092009
131010 211010 250009 150011 120010 138017
