O2200 3454N 11207E 004630 004630 105 000 S15 91999999999999199999 0 2009 02
P=
TB
-010 -009 -008 -006 -007 -006 -005 -005 -005 -006 -006 -006
-006 0000 0007 0011 0010 0012 0016 0017 0015 0012 0011 0011 0019 1512 -011 2029.
0012 0010 0011 0009 0010 0010 0008 0009 0006 0007 0007 0009
0012 0017 0017 0016 //// //// //// //// //// //// //// //// 0019 1018 0006 0424.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// 0025 0032 0040 0057 0052 0053 0046 0040 0036 0036 0062 1319 0023 1014.
0033 0025 0015 0006 0008 //// //// //// //// //// //// ////
0028 0039 0065 0076 0095 0106 0113 0110 0093 0070 0064 0058 0118 1507 0005 2357.
0061 0057 0042 0051 0034 0028 0026 0023 0021 0012 0016 0015
0035 0054 0056 0075 0096 0082 0089 0084 0075 0065 0060 0064 0103 1319 0008 0641.
0065 0062 0061 0058 0055 0053 0053 0052 0050 0049 0050 0049
0053 0059 0072 0083 0102 0113 0116 0105 0095 0077 0076 0077 0122 1338 0048 0619.
0076 0077 0078 0076 0075 0075 0073 0072 0071 0072 0070 0070
0072 0079 0084 0085 0089 0089 0074 0066 0065 0058 0051 0048 0095 1324 0048 1947.
0048 0047 0044 0044 0037 0030 0023 0023 0022 0025 //// ////
//// //// //// 0037 0033 0036 0036 0038 0042 //// //// //// 0048 2001 0022 0301.
//// //// //// //// //// //// //// //// //// //// //// 0060
0081 0103 0112 0123 0134 0143 0146 0149 0135 //// //// //// 0159 1518 0057 0804.
//// //// //// //// //// //// //// //// //// //// //// 0059
0079 0105 0161 0177 0193 0212 0224 0223 0210 0164 0143 0122 0230 1425 0048 0753.
0132 0128 0107 0105 0108 0084 0077 0073 0085 0063 0079 0090
0108 0119 0130 0146 0159 0161 0154 0149 0141 0129 0127 0123 0164 1303 0062 0602.
0120 0117 0117 0118 0120 0120 0119 0118 0116 0116 0116 0113
0112 0112 0110 0107 0104 0108 0108 0112 0111 0110 0121 0115 0123 2001 0104 1259.
0106 0096 0123 0117 0123 0131 0130 0129 0130 0127 0124 0121
0129 0135 0152 0163 0163 0156 0158 0153 0141 0128 0111 0100 0184 1243 0093 2220.
0095 0082 0076 0078 0073 0073 0074 0069 0073 0071 0078 0072
0090 0095 0102 0118 0133 0152 0151 0149 0139 0127 0119 0117 0159 1518 0069 0353.
0109 0113 0101 0104 0107 0098 0114 0116 0115 0105 0087 0048
0038 0037 0033 0034 0027 0029 0027 0030 0028 0025 0022 0021 0120 0331 0020 1945.
0017 0016 0016 0014 0013 0009 0004 -001 0001 0000 -001 0008
0021 0022 0038 0045 0042 0039 0034 0030 0026 0015 0012 0007 0051 1203 -002 0543.
0003 -001 -003 -005 -005 -011 -011 -013 -015 -016 -017 -017
-016 -014 -012 -011 -007 -006 -004 -003 -004 -004 -003 -004 0007 2001 -018 0722.
-002 -002 -001 -001 //// //// //// 0002 0001 0000 0001 0001
0003 0004 0005 0007 0006 0006 0008 0007 0006 0004 0003 0000 0009 1533 -004 2001.
-001 -002 -003 -003 -002 -001 -001 0000 0001 0002 0000 0001
0010 0029 0055 0070 0080 0082 0077 0078 0074 0072 0066 0060 0086 1404 -004 2317.
0056 0053 0050 0051 0048 0040 0028 0020 0016 0011 -008 0006
0026 0042 0066 0063 0087 0080 0095 0079 0068 0061 0055 0052 0105 1327 -010 0702.
0042 0034 0027 0025 0017 0014 0013 0016 0011 0015 0007 0013
0026 0045 0089 0096 0123 0127 0135 0147 0130 0106 0088 0087 0154 1509 0004 0719.
0085 0077 0080 0070 0080 0071 0063 0055 0054 0049 0045 0045
0051 0056 0066 0071 0080 0075 0073 0069 0065 0058 0055 0052 0094 2031 0042 0643.
0049 0047 0042 0037 0031 0030 0029 0028 0026 0021 0016 0018
0034 0037 0064 0078 0079 0074 0063 0066 0054 0050 0048 0047 0092 1322 0016 0633.
0045 0041 0038 0038 0035 0032 0032 0029 0029 0029 0027 0028
0028 0029 0029 0031 0032 0030 0024 0023 0021 0016 0011 0009 0047 2001 0009 1932.
0007 0007 0006 0007 0005 0004 0005 0008 0005 0001 0000 0000
0004 0004 0012 0014 0018 0016 0012 -002 -006 -010 -014 -014 0021 1242 -015 1958.
-014 -013 -012 -012 -012 -014 -014 -014 -016 -015 -014 -014
-010 -001 0006 0010 0009 0013 0011 0010 0008 0005 0003 0004 0018 1420 -016 0453.
0003 0002 0002 0004 0004 0002 -002 -001 0000 0000 0005 0002
0013 0031 0049 0086 0071 0092 0100 0089 0078 0069 0060 0054 0116 1527 -003 0253.
0050 0044 0038 0031 0025 0021 0021 0025 0025 0027 0026 0028
0036 0048 0055 0084 0096 0118 0122 0109 0102 0081 0066 0058 0125 1450 0018 0152=
I=
E=
U=
N=
H=
C=
V=
R=
W=
L=
Z=
G=
FN
109011 103013 060003 043013 033008 100004
193010 156004 063007 045010 271004 077004
139011 154009 PPC000 170011 133011 PPC002
106006 144010 130009 161009 266007 233009.
249009 060006 012007 PPC001 PPC000 230006
226007 137005 093005 042004 050008 PPC002
251008 092006 106007 138005 ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 109015 120016 200009
203006 144009 113014 063007 115003 127011.
060007 025011 031012 298014 309006 //////
////// ////// ////// ////// ////// //////
208004 095005 224009 282008 189009 109016
135011 126008 116010 144005 231008 281010.
306014 097014 229007 316015 005006 027007
100011 309009 306015 PPC000 097010 001009
028017 060011 105028 149014 097009 102036
113027 108033 111036 112017 047006 090009.
124022 102015 108020 187007 315008 073008
022007 107008 PPC000 088005 036014 107010
261008 256015 175006 259010 323016 121024
148014 124017 097013 082006 093013 047014.
042013 040017 047012 029006 292006 PPC000
PPC000 271011 253009 318007 293010 280006
099009 169005 150005 218012 268005 105006
073008 113005 099029 112033 116026 104022.
101029 120020 117021 115013 105042 112029
100018 040012 324006 289008 ////// //////
////// ////// ////// 243010 255013 246017
238017 ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 270033
324010 302023 315060 310048 308057 282044
318032 231043 248046 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 287007
162008 236017 169008 178014 113014 134018
154025 180012 173009 294006 104021 015006.
314009 330009 118014 301018 295008 097008
259007 257009 317012 072007 344008 028016
018011 ////// 110036 105034 182014 122021
107036 106025 122026 105023 112024 094016.
121018 118012 084010 114014 108016 132012
124008 110027 116018 119018 111018 113021
134016 114011 103018 058027 316012 035013
295012 249023 ////// 235011 305020 252008.
PPC000 227009 306043 305011 312021 315075
319069 316088 316084 320047 337033 317031
317030 312012 313038 313017 104037 119041
113031 105029 112011 102020 105024 122014.
130012 053014 346003 061004 032014 305013
095011 PPC000 313006 250010 182013 255010
239017 234047 245037 240020 227047 248048
233060 230058 233052 235039 267026 314025.
061007 151004 299012 262017 274014 045017
342022 004012 292011 286009 111040 105038
103024 124032 127025 109031 123025 109028
117022 121017 102019 094012 100020 096022.
105021 080015 104013 095011 100019 104011
059008 096006 117006 053010 PPC001 119007
100011 105021 132013 136007 095016 111034
113020 106036 111036 111026 104040 101016.
125025 108046 125014 107039 108037 129028
122031 110027 092041 108036 111021 097029
117032 115026 117015 097021 112028 //////
123010 052009 108014 037007 095008 100008.
116008 118010 141008 357005 ////// //////
////// 112005 PPC002 044007 077009 132015
050008 ////// 143010 109026 106035 110041
106021 109031 108028 111044 102034 117016.
105029 110029 120011 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
116007 247011 313037 319045 306026 315066
306046 318052 322045 308038 283027 302024.
300021 296019 313012 272026 318052 323050
312047 316064 317043 320040 125009 231017
242023 258012 115017 129024 107023 106024
127025 101032 111031 136010 107012 112006.
052017 299009 PPC001 035012 044012 339009
PPC000 043009 322007 323009 PPC001 PPC000
105012 312008 168010 184010 130018 142021
125009 157012 134011 095007 129011 301014.
101011 PPC002 118006 316010 357006 PPC001
PPC002 120012 051008 154008 085014 120029
120026 109044 127032 118042 112050 114035
138023 106030 132018 147008 125025 124018.
113011 122018 106021 123016 102015 068010
097013 136007 106015 090012 110009 102008
054012 111021 194013 059020 121036 105042
111032 115028 115034 127009 079013 059016.
129016 109040 123024 137012 105015 127012
033007 111025 094033 124016 097020 104016
091024 097024 090022 138017 120020 115014
149007 239005 114009 136014 107018 114026.
088010 ////// 141013 107008 066012 030016
311015 144011 122018 146026 237009 276005
137006 152017 096014 107045 134024 130038
133021 134020 127012 126010 111016 133008.
074005 034009 109012 057003 046014 289007
////// 128003 PPC002 PPC001 183006 214006
187009 223006 279004 124006 217009 PPC001
128010 133011 140011 157006 229014 248011.
240011 233012 257008 313009 034006 227008
226009 173007 314017 038014 300010 195006
273007 ////// 011012 182013 134013 226016
129012 117020 106017 120013 122012 149010.
153007 164005 094006 058003 PPC000 103006
038008 310007 260009 PPC000 157008 265009
000011 346008 290007 146012 120017 135021
122016 111021 149016 144014 130010 111008=
112014 107012 085008 048010 040011 PPC002
162006 117003 055007 059007 300006 094004
126010 143009 PPC000 152011 120009 178003
129005 139007 123010 159007 244006 237008.
240008 059006 040006 PPC002 055003 224004
235008 140005 090004 047004 053006 167004
251008 110005 109004 085006 ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 110013 112019 160008
195007 132011 108013 057008 PPC002 126008.
089005 034009 034011 300010 312006 //////
////// ////// ////// ////// ////// //////
206006 117006 186009 247009 174011 103010
135010 149008 124009 119005 228007 280009.
305014 097012 288006 318010 356003 026005
105009 325011 304014 PPC000 104010 355010
