O2200 3454N 11207E 004630 004630 105 000 S15 91999999919999199999 0 2010 12
P=
TB
//// 0117 0110 0112 0113 0086 0079 0062 0056 0047 0050 0049
0056 0088 0133 0172 0181 0207 0220 0214 0213 0174 0157 0152 0231 1338 0043 0714.
0133 0133 0111 0134 0109 0096 0137 0141 0131 0126 0121 0105
0101 0119 0121 0125 0130 0129 0129 0129 0123 0113 0092 0095 0155 2008 0085 1956.
0085 0091 0061 0048 0050 0044 0032 0029 0027 0022 0019 0016
0015 0048 0073 0089 0127 0133 0129 0115 0115 0072 0079 0062 0136 1422 0009 0639.
0066 0065 0062 0066 0058 0050 0046 0040 0031 0032 0034 0042
0070 0112 0151 0183 0190 0188 0185 0169 0140 0126 0124 0121 0196 1339 0028 0649.
0116 0099 0094 0098 0084 0086 0068 0064 0068 0066 0051 0067
0114 0152 0160 0167 0175 0163 0156 0149 0141 0141 0135 0129 0176 1256 0051 0659.
0121 0114 0108 0081 0085 0057 0053 0046 0041 0032 0044 0040
0064 0081 0074 0077 0075 0079 0084 0069 0065 0054 0050 0044 0128 2001 0031 0550.
0039 0033 0030 0029 0021 0030 0012 0001 0005 0030 0023 0011
0033 0062 0075 0085 0087 0099 0101 0095 0087 0079 0078 0080 0104 1441 -003 0344.
0080 0067 0083 0098 0074 0096 0090 0094 0090 0093 0089 0089
0096 0108 0116 0126 0137 0133 0135 0124 0109 0096 0085 0087 0144 1351 0060 2207.
0090 0084 0072 0059 0051 0040 0042 0034 0029 0023 0022 0022
0049 0075 0105 0141 0138 0121 0143 0142 0110 0083 0089 0096 0154 1318 0018 0724.
0073 0064 0068 0067 0052 0062 0073 0062 0074 0104 0102 0097
0099 0109 0123 0127 0127 0121 0117 0113 0106 0096 0082 0076 0131 1123 0050 0058.
0079 0074 0059 0066 0067 0058 0044 0027 0028 0014 0003 -005
0023 0037 0068 0076 0079 0095 0095 0079 0053 0039 0028 0021 0107 1410 -005 0746.
0027 0020 0024 0022 0023 0012 0015 0022 0013 0002 -001 0007
0028 0047 0078 0100 0105 0122 0124 0099 0080 0064 0060 0057 0126 1454 -004 0639.
0043 0034 0027 0020 0031 0032 0032 0032 0030 0022 0019 0020
0025 0033 0034 0044 0042 0034 0022 0009 -003 -009 -013 -016 0057 2001 -016 2000.
-018 -018 -022 -025 -029 -026 -025 -026 -026 -030 -030 -031
-028 -018 -008 0008 0013 0010 0006 0008 0000 -011 -017 -020 0022 1253 -031 0624.
-021 -025 -028 -029 -030 -031 -012 -014 -018 -023 -028 -035
-037 -036 -033 -031 -035 -038 -040 -041 -042 -043 -041 -039 -011 0257 -044 1743.
-041 -040 -041 -040 -037 -038 -040 -041 -046 -044 -043 -042
-031 -014 0005 0020 0038 0045 0053 0061 0032 0022 -002 -008 0066 1557 -046 0500.
0005 -001 0009 -012 -011 -020 -011 -014 -007 -002 0014 0009
0020 0044 0094 0112 0117 0128 0137 0127 0097 0077 0057 0049 0144 1435 -027 0217.
0035 0025 0027 0024 0013 0011 -003 -007 -002 -014 -014 -004
0020 0049 0089 0140 0145 0145 0147 0137 0112 0083 0075 0063 0155 1218 -020 0640.
0055 0080 0091 0088 0101 0099 0095 0080 0086 0084 0077 0077
0085 0102 0115 0120 0120 0121 0119 0116 0105 0086 0068 0067 0129 1223 0048 2115.
0060 0039 0032 0028 0019 0017 0012 0003 -004 0005 -008 -004
0031 0063 0111 0126 0152 0163 0153 0133 0091 0068 0061 0072 0163 1400 -011 0728.
0047 0043 0037 0034 0038 0055 0061 0067 0070 0045 0056 0057
0063 0098 0130 0140 0143 0145 0148 0147 0127 0112 0107 0087 0152 1440 0029 2253.
0087 0074 0064 0052 0056 0041 0051 0036 0034 0035 0034 0037
0072 0091 0113 0148 0162 0173 0159 0139 0115 0098 0101 0098 0177 1421 0026 0619.
0083 0077 0066 0062 0041 0041 //// //// 0020 0024 0012 0016
0028 0033 0046 0065 0049 0051 0041 0029 0014 0001 -008 -018 0100 2004 -018 2000.
-023 -030 -034 -036 -038 -042 -050 -056 -060 -062 -065 -067
-058 -047 -034 -027 -025 -031 -028 -032 -040 -044 -044 -047 -018 2007 -068 0754.
-049 -056 -053 -054 -052 -050 -059 -058 -050 -049 -048 -035
-022 0002 0009 0021 0022 0032 0030 0022 0015 0011 0010 0008 0033 1338 -061 0329.
0009 0007 0005 0004 -004 -005 -012 -023 -032 -035 -034 -023
0007 0028 0048 0068 0088 0092 0100 0096 0076 0036 0038 0034 0109 1448 -040 0642.
0021 0018 0005 0016 0027 0006 0000 0007 0016 0043 0024 0018
0036 0062 0106 0115 0118 0116 0111 0105 0086 0077 0061 0070 0129 1337 -007 0316.
0077 0075 0071 0061 0039 0029 0029 0029 0024 0011 0008 -001
0014 0047 0074 0092 0112 0127 0129 0126 0089 0044 0041 0028 0137 1349 -006 0744.
0035 0036 0021 0018 0010 0008 0012 0021 0008 0020 0049 0049
0049 0048 0048 0048 0051 0046 0044 0040 0031 0022 0017 0013 0054 1206 0004 0137.
0010 0002 -005 -007 -014 -018 -025 -028 -033 -043 -046 -045
-038 -027 -023 -016 -002 0000 0000 0000 -006 -012 -018 -024 0014 2033 -048 0705.
-025 -023 -028 -035 -040 -046 -048 -050 -053 -055 -060 -072
-054 -030 -006 0000 0023 0032 0012 //// //// -012 -024 -033 0046 1353 -076 0738=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
////// 268015 277019 303018 269014 337007
244006 120010 040012 027008 PPC002 PPC001
PPC001 ////// 121008 ////// 112011 042017
104010 102009 312011 298012 319025 319036.
309024 270015 302024 323015 257017 309038
316051 314045 320082 313085 313030 312026
316030 314056 ////// 318052 320047 313039
////// 316041 320044 268015 307020 297009.
306024 055006 034014 269005 150009 PPC000
050012 PPC002 270011 062005 309012 055006
042010 108022 110023 003009 150017 154017
114013 108014 028010 042010 268003 PPC000.
290011 269009 295009 319005 293009 204007
PPC001 PPC001 PPC002 282013 297014 307008
001007 136004 155013 146013 149017 128014
132013 131011 141013 309013 307011 270014.
268012 095010 300011 302012 320009 076007
272005 297003 281004 209007 183003 040007
269018 315037 308049 319049 290034 309047
303054 307054 314088 ////// 320094 316074.
320064 319054 314037 027007 312014 078010
272008 161011 100003 108009 PPC000 122004
288015 323021 319029 310034 304057 314064
312060 313059 314078 309050 312061 309060.
320030 329013 303024 261022 245009 314027
164017 301013 173021 309022 270027 272036
264023 298036 304041 288056 318057 307041
303035 313044 280029 281020 312019 306020.
259013 267010 304026 305019 020012 306030
315015 306020 302028 297059 313052 308041
315029 304041 319066 321056 294028 313027
315020 308029 296012 338011 055022 318013.
319028 301013 295015 341009 104010 309016
103010 323007 046018 302012 294004 303004
116007 235009 234011 127016 140012 233027
239005 259011 227009 324009 301013 318022.
234010 073009 275010 239011 PPC002 318011
271007 122004 306015 299046 294046 300046
297032 318072 278036 317051 314051 314056
319069 341024 321063 316029 298012 308021.
312026 308021 272033 304017 ////// 321034
050004 092009 111014 096017 091012 062005
101008 114023 140017 134013 129020 090020
122014 110009 103009 105013 115012 119006.
308016 293012 312008 331010 061005 268006
276007 312018 293011 073009 337007 295003
117008 044013 042007 136010 093016 149014
160008 143012 161014 PPC002 122011 100014.
096014 104012 139008 304011 307019 315014
321012 121010 118009 160010 110009 213003
101016 091019 113021 109025 120017 124024
123039 105041 107040 105028 112025 116024.
116013 134012 140013 178025 241006 130011
131012 153009 123016 125010 142016 122011
149014 119015 121018 094023 160019 139012
093012 129007 103018 128026 112027 111018.
119011 113015 114011 104009 166010 262007
314066 318050 315065 313066 318045 320065
316070 318054 315067 319077 307083 314074
307054 313059 316080 312078 319083 316124.
315068 314066 308075 313074 291050 314049
311037 300046 270036 309037 307046 296044
297037 283045 259046 302033 315023 314026
298033 278010 353009 301023 332010 290010.
251014 301014 318022 259015 ////// 236010
259034 245032 251034 236028 271024 011013
133013 109013 115012 317013 313036 317030
313019 318020 036015 282010 296008 193005.
262004 287009 286007 095008 320012 328005
PPC001 PPC000 039005 158011 232016 192004
PPC000 169005 286003 256010 306038 300036
296030 311024 270018 206010 303010 PPC000.
048006 315034 304024 311024 316055 314050
302026 293025 303045 309069 308032 297055
303045 302038 310053 318041 314086 314066
319061 314053 311031 216016 PPC000 309017.
313014 169009 099003 199011 034009 158014
300009 PPC001 257013 256009 PPC000 032011
104007 164008 105011 261009 152008 178006
101011 134012 101004 PPC001 223007 046008.
214006 184010 068010 173008 214008 043007
304023 292016 303010 251018 272011 263010
116010 113007 316049 314066 304040 296048
311037 ////// 305021 312024 310020 299016.
307017 264011 269007 243008 224011 342012
323007 357011 195006 060007 298006 106006
100010 108008 199010 163007 171007 144011
112013 103017 130012 049003 052014 097025.
109013 047018 039016 303013 307012 //////
////// ////// 148007 245005 134010 157012
105010 122011 113031 118021 101035 115028
109033 101036 108027 114052 114030 101040.
097024 102034 113023 105041 108031 105022
112019 135011 116015 101016 136013 058010
123030 116017 106019 104019 097016 141012
156016 132015 112011 115012 218009 233010.
239011 247016 246013 244016 272010 103009
PPC000 265008 312004 248009 261018 254019
206013 319028 303042 310043 311034 298070
317036 308047 268028 305020 314030 309030.
320049 327035 322049 311053 295021 320016
316017 141006 246006 190011 185022 258019
302018 309022 302031 308039 302038 291048
303031 311029 PPC001 051004 234015 228011.
103003 136006 153006 188008 287020 353003
175010 245018 203011 239018 057006 343009
060006 149011 300043 304046 320037 317037
320053 302038 314029 317032 297023 320036.
312045 316068 319067 320020 062006 103011
320014 297018 317021 319015 308009 266009
261017 238017 256021 246027 240016 025016
032012 081005 123015 115013 281004 301011.
282015 PPC001 320011 045012 059005 307009
288016 305018 281016 257010 320068 311081
313088 317126 320099 323095 314058 316087
315076 319071 315081 320064 342039 301034.
315041 315045 293016 316050 302051 311051
315055 316076 305087 317063 318059 305045
306054 319045 322067 317109 310052 308066
316057 317064 316040 321021 312033 310017.
309034 310046 311041 260022 296034 321023
300028 311031 318044 320036 309042 178018
215008 133012 250003 244014 007015 319009
305025 ////// ////// 308017 305017 047019=
////// 266017 275018 301016 253009 326008
207007 118007 046008 017008 084004 258003
PPC002 ////// 122009 ////// 114009 082016
103014 139006 305012 296015 318023 320033.
312023 268014 300020 346012 257016 311040
316053 316047 319082 315084 306034 314021
314030 317056 ////// 319047 318052 314047
////// 316046 322032 290014 306020 290013.
305023 328009 022007 238004 219007 PPC000
047009 301007 269011 059004 317010 078008
062006 111018 111022 058011 152011 154014
111009 092011 043005 053010 315007 PPC000.
292009 269009 PPC002 306009 294011 PPC002
323003 220005 PPC000 263014 289016 322004
356006 112004 146011 145011 137013 131016
135013 134011 139013 304010 306012 263012.
282009 103009 298010 304012 313005 059006
270005 269007 262004 228007 100006 068004
278018 313041 305043 316052 296029 313047
309053 312051 315081 ////// 321081 317065.
319058 318049 315041 103006 313014 111008
271008 276007 115011 106008 PPC001 122006
314020 348021 316025 315038 309055 314067
313050 312063 315069 307048 314076 308055.
317030 313025 301023 269020 250016 310025
175011 272014 182012 309035 273031 270033
