O2205 3455N 11222E 004250 004250 105 000 S15 91999999919999199999 0 2010 02
P=
TB
0049 0046 0041 0031 0024 0018 0008 0008 0003 -003 -013 -007
0013 0036 0046 0055 0063 0095 0099 0093 0077 0054 0052 0023 0104 1535 -015 0722.
0012 0003 -005 -011 -017 -019 -021 -024 -025 -025 -026 -023
-004 -001 0010 0017 0033 0039 0038 0033 0029 0018 0011 0006 0048 1345 -033 0718.
0002 -012 -020 -025 -030 -031 -035 -038 -041 -043 -049 -045
-034 -022 0008 0018 0021 0033 0022 0028 0020 0010 0009 0006 0038 1331 -051 0719.
-003 -001 -006 -008 -022 -024 -028 -024 -024 -028 -030 -027
-015 0010 0027 0027 0034 0041 0044 0044 0035 0025 0021 0016 0050 1334 -035 0650.
0013 0016 0016 0015 0015 0009 0004 -005 -008 -011 -011 -013
-009 -008 -009 -006 -005 -004 -004 -003 -002 -001 0001 0000 0017 2004 -013 0710.
-003 -007 -010 -014 -017 -019 -022 -024 -027 -028 -029 -031
-032 -041 -034 -034 -033 -033 -031 -029 -026 -025 -025 -025 0000 2001 -041 0952.
-024 -024 -024 -024 -022 -018 -016 -014 -016 -018 -020 -017
-013 -012 -010 -008 -006 -001 0002 0001 0002 0003 0000 -001 0006 1653 -025 2001.
0000 0001 0002 0002 0002 0003 0000 0000 0000 0002 0003 0006
0006 0012 0012 0011 0022 0020 0019 0016 0013 0008 0004 0003 0030 1324 -001 2001.
0002 0001 -001 -004 -002 -002 -001 -001 0000 0001 0003 0004
0007 0005 0004 0001 0000 0001 0000 0002 0003 0003 0003 0002 0008 0903 -004 2327.
0000 0000 -002 -004 -006 -013 -016 -018 -021 -030 -028 -028
-033 -035 -036 -035 -037 -039 -039 -040 -041 -045 -050 -054 0002 2001 -054 1924.
-055 -056 -054 -053 -055 -057 -062 -061 -060 -060 -062 -058
-053 //// //// //// //// -015 -005 -018 -031 -040 -042 -041 0000 1518 -062 0243.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// 0001 -009 -005 0018 0021 0013 -015 -024 -030 -035 0027 1457 -047 2013.
-038 -039 -044 -048 -044 -044 -043 -042 -045 -044 -039 -041
-038 -028 -023 -019 -008 -007 -013 -011 -013 -014 -015 -019 0002 1410 -049 2308.
-023 -025 -026 -029 -029 -031 -032 //// //// //// //// ////
-009 0012 0026 0032 0045 0022 0015 0010 0003 -003 -007 -008 0050 1252 -032 0208.
-013 -017 -019 -021 -022 -022 -023 -028 -029 -028 -029 -029
-029 -028 -030 -025 -027 -031 -027 -027 -029 -036 -040 -040 -009 2001 -042 1905.
-039 -038 //// //// //// //// //// //// //// //// //// ////
-009 0002 0013 0025 0029 0030 0047 0034 0029 0017 0014 //// 0047 1500 -040 2001.
//// //// //// //// //// //// //// //// //// //// //// ////
-003 0003 0002 0011 0023 0021 0031 0024 0019 0002 -002 -005 0035 1415 -011 0814.
-008 -008 -013 -020 -029 -030 -037 -020 -032 -033 -044 -033
-006 0020 0039 0037 0045 0061 0067 0059 0056 0038 0034 0024 0068 1449 -044 0653.
0020 0026 0017 0010 0006 0002 0009 -005 -020 -022 -023 -013
0019 0045 0079 0101 0115 0131 0147 0137 0129 0099 0082 0081 0154 1446 -031 0634.
0070 0064 0050 0046 0033 0029 0025 0022 0019 0020 0016 0023
0059 0081 0108 0129 0163 0188 0198 0194 0165 0152 0131 0113 0205 1513 0009 0621.
0103 0098 0092 0076 0071 0069 0064 0056 0061 0049 0043 0066
0095 0118 0151 0171 0191 0193 0195 0186 0143 0123 0114 0112 0205 1419 0041 0703.
0108 0100 0098 0084 0076 0061 0055 0070 0068 0066 0065 0063
0073 0098 0123 0157 0158 0149 0162 0153 0147 0130 0128 0127 0165 1316 0054 0740.
0111 0106 0100 0096 0078 0086 0085 0083 0059 0057 0056 0083
0106 0113 0141 0166 0163 0179 0173 0180 0158 0147 0141 0135 0189 1315 0050 0606.
0127 0122 0118 0111 0109 0108 0109 0106 0101 0085 0085 0085
0093 0122 0149 0173 0197 0183 0199 0177 0161 0152 0143 0125 0204 1451 0076 0719.
0107 0100 0094 0085 0090 0088 0087 0094 0091 0083 0081 0084
0095 0108 0116 0134 0138 0139 0128 0125 0110 0094 0091 0079 0147 1434 0077 0715.
0066 0058 0052 0048 0042 0036 0033 0028 0027 0026 0019 0033
0039 0051 0071 0083 0092 0109 0111 0095 0087 0078 0077 0078 0117 1443 0018 0707.
0073 0067 0060 0058 0052 0049 0043 0040 0034 0030 0027 0029
0034 0039 0047 0048 0065 0074 0072 0070 0067 0055 0049 0045 0081 1507 0027 0652.
0049 0048 0046 0044 0050 0050 0050 0046 0037 0025 0020 0014
0007 0006 0005 0003 0003 0007 0009 0011 0005 0000 0003 0001 0051 0115 0000 1723=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
079021 060018 034012 353006 327015 323020
304019 337029 275024 271023 317012 318042
304046 313060 236015 312055 316078 318028
209023 325017 169009 146021 109022 095038.
085037 095035 106041 111036 113030 108024
080030 060019 059022 120011 062015 030016
322006 077018 064029 116023 070017 063013
064017 100018 131020 127026 114024 112026.
099029 080026 083037 104031 063028 094028
118021 083020 072018 105012 036016 056018
096011 065012 324006 331012 343015 323015
016010 176008 140014 122026 122024 121027.
131027 096018 129021 120017 034011 329014
320013 PPC000 323004 304007 034006 034007
035004 016008 019009 065024 089023 073020
069018 088019 ////// 102025 093032 079026.
080025 076021 049021 064026 079023 118028
066034 036034 108034 128035 095011 087019
100022 ////// 085035 088025 086030 //////
082030 086030 076029 073034 086021 076027.
075026 102018 100025 098028 102028 099027
096034 073031 083031 102025 103029 094026
035016 081025 099014 060038 079036 078030
////// 085022 078024 078026 063025 107018.
090027 096013 097010 062016 116009 354008
PPC000 328007 127011 106011 142005 PPC000
335014 102013 140018 156026 177009 330021
328028 075006 PPC001 092015 127006 PPC002.
353009 327017 327014 307013 316009 223015
208018 211012 309019 323013 302014 202007
204010 219008 040007 111011 183013 065019
////// 103015 079008 107023 109029 079023.
098019 048023 097025 093012 343021 122017
076018 037010 112003 304007 008009 227016
039013 146007 104013 147020 056009 113011
080020 063036 070021 112010 086017 344009.
052013 083008 124024 049014 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000
////// ////// ////// ////// ////// //////
PPC000 PPC000 PPC000 PPC000 PPC000 PPC000.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// PPC001 020015 324008 280013
326010 253011 124028 115034 118029 124023.
110026 080021 046015 325008 PPC000 016009
136021 125009 028008 056003 057014 120023
125016 101014 075016 089026 074018 099018
082030 079022 081026 064027 065043 065029.
063026 093016 076014 129020 128017 082006
272003 ////// ////// ////// ////// //////
304012 323007 309011 306018 354013 071027
080017 110016 088028 086031 079025 082030.
133020 073020 075013 110007 048015 052015
058020 039014 106010 119007 042006 143010
070013 192006 046009 064013 042012 108015
053012 100012 110010 122009 210008 240015.
233020 243021 ////// ////// ////// //////
////// ////// ////// ////// ////// //////
311005 319014 315012 323018 258017 280016
298024 265022 275017 268033 288042 //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
312137 321146 307134 320183 323176 317114
313098 321110 316138 319118 316102 323077.
307071 292047 241021 296061 305043 304044
304035 300090 328050 300049 318026 304021
299019 306024 309046 324095 318132 315132
322126 321130 323127 317133 318107 304072.
294043 150012 307062 323057 301048 302051
300070 315023 320024 320028 327021 322031
323025 308022 209016 323016 283025 337035
310036 269022 295021 277033 282045 271048.
287060 288056 282033 281030 292030 318027
316033 306044 323039 301044 323020 310041
304025 319012 269012 257014 314008 327014
328026 017023 105012 115014 154028 211031.
227029 253039 292039 299040 275023 278026
289038 280037 307068 320047 328025 001055
309031 296024 314020 002011 015018 044015
112014 086017 098021 094030 069029 081024.
076026 058024 032016 323010 312014 313022
323020 013022 327029 350013 355010 354012
265019 261016 323008 120018 067013 067020
081016 088019 124021 131021 122040 088025.
043010 357011 313010 297012 277026 276036
269033 259030 312017 323010 003016 342008
163013 319008 286010 032016 104022 087023
077031 102014 083017 084028 089023 101025.
086025 088033 096027 085028 084024 058025
065020 080022 064028 PPC001 331007 330020
292014 313018 307017 329015 337022 316024
334026 320041 315082 315071 344034 098046.
096055 084025 089023 033016 048012 354014
075017 081019 109015 106020 067027 060024
099019 095017 034015 166026 148020 142026
093034 120019 ////// 080007 087020 096010.
099016 078022 069025 091029 084021 070019
080025 063019 074021 074016 330008 PPC001
065012 075021 060015 080027 076024 082027
070016 096029 086039 101029 071026 101027.
102022 106013 100026 090012 111024 092025
111021 084016 097033 111034 123021 076024
105029 071032 079021 055033 071021 079030
083031 077035 075025 080028 078026 070024.
090025 083025 103022 108029 085040 101026
080031 089033 077039 079049 082046 090040
106032 101033 074026 119024 065024 040015
079010 330013 140019 271008 211014 158023=
079023 055019 033013 327009 327012 326015
305017 326028 280025 284025 315016 323036
306040 314054 256019 307040 314081 319034
233018 336018 190006 151022 107016 094037.
084035 093035 099038 103033 105032 093025
090027 081016 065021 104012 073013 026018
324004 083014 062025 102027 074018 079014
069018 089018 119017 121029 115022 100025.
094028 082028 080035 093032 077027 091029
108023 088021 080016 094013 035013 061017
081018 061011 319011 328018 331015 329015
044013 189012 133011 120024 122022 117027.
127026 095016 128020 117019 036011 337013
328013 PPC002 327006 305008 035008 034008
045005 011008 277011 075021 085021 069019
083015 093017 ////// 106023 099034 080027.
079025 077021 053021 063024 079021 120023
066031 054039 105030 124038 089013 085018
