O2206 3449N 11233E 001960 001960 105 000 S15 91999999919999199999 0 2010 01
P=
TB
//// //// //// //// //// //// //// -052 //// //// //// ////
0007 //// //// //// 0132 //// //// 0133 0081 0061 0040 //// 0141 1321 -053 0352.
//// 0023 0020 0005 -011 -006 -001 //// //// //// -035 -063
//// //// 0010 0035 0043 0050 0055 0042 0032 0016 0001 -010 0057 1443 -063 0800.
-017 -023 -028 -030 -031 -035 -037 -036 -031 -031 -036 -036
-032 -026 -021 -014 -004 0008 0023 0010 0001 -012 -044 -028 0023 1459 -050 1912.
-051 -053 -049 -034 -040 -045 -044 -042 -045 -048 -050 -057
-050 -043 -032 -012 -002 0003 0007 -001 -022 -032 -038 -041 0010 1518 -058 0756.
-042 -045 -047 -053 -058 -059 -064 -068 -070 -070 -072 -071
-065 -057 -051 -045 //// //// -033 -032 -035 -042 -048 -052 -029 1530 -072 0650.
-066 -065 -066 //// //// //// //// //// -081 -084 -087 -088
-078 -067 -054 -041 -030 -018 -019 //// //// -038 -043 -048 -013 1431 -089 0723.
-055 -056 -062 -066 -074 -088 -078 -078 -074 -075 -080 -076
-071 -061 -053 -047 -041 -035 -034 -033 -035 -043 -050 -089 -031 1535 -093 0230.
-091 -098 -084 -073 -082 -085 -081 -086 -088 -086 -087 -090
-073 -060 //// //// -026 -020 -018 -017 -024 -042 -072 -077 -014 1411 -099 2152.
-089 -090 -088 -085 -088 -091 -088 -096 -103 -101 -078 -083
-056 -047 -035 -027 -023 -017 -019 -018 -021 -026 -029 -029 -015 1425 -104 0502.
-029 -028 -029 -029 -030 -030 -030 -031 -032 -036 -073 -072
-045 -024 -009 0000 0012 0021 0018 0014 0000 -042 -053 -028 0022 1357 -079 0710.
-028 -025 -053 -076 -065 -071 -078 -082 -067 -062 -059 -062
-048 -027 -014 0003 0018 0027 0034 0036 0016 -004 -042 -040 0039 1554 -083 0401.
-033 -034 -058 -058 -028 -031 -008 -034 -064 -042 -043 -038
-005 0042 0058 0057 0056 0061 0054 0051 0037 //// //// //// 0067 1414 -072 2241.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// -003 0012 0025 0037 0049 0049 0034 0005 -063 -062 0050 1503 -072 1954.
-066 -072 -082 -090 -085 -081 -072 -065 -085 -051 -075 -089
-034 0001 0034 0066 //// //// 0116 0104 0088 0003 0017 0020 0120 1449 -098 0753.
-015 0023 0012 0012 0002 0000 -004 -006 -008 -017 -023 -023
-014 -005 0007 0016 0027 0032 0033 0034 0017 -038 -031 -010 0037 2011 -059 1931.
-029 -035 -027 -075 -089 -096 -093 -094 -085 -097 -084 -091
-051 -016 0016 0033 0048 0054 0062 0052 0045 -024 -046 -029 0066 1424 -101 0628.
-031 -041 -044 -041 -054 -058 -043 -047 -054 -050 -071 -069
-028 0000 0033 0066 0072 0087 0095 0097 0075 -007 -023 -021 0100 1503 -074 0703.
-023 -026 -023 -037 -032 -040 -034 -023 -049 -053 -039 -045
-031 0005 0018 0032 0048 0053 0060 0057 0048 0040 0038 0038 0061 1455 -063 0449.
0036 0035 0037 0037 0038 0041 0037 0034 0035 0032 0028 0022
0019 0022 0024 0027 0030 0032 0034 0035 0033 0030 0028 0025 0043 0221 0018 0820.
0029 0029 0034 0033 0030 0029 0024 0024 0016 0011 0014 0030
0046 0049 0047 0045 0041 0045 0048 0044 0046 0038 0031 0025 0061 0953 0008 0605.
0019 0015 0009 0003 -001 -004 -007 -008 -009 -009 -011 -012
-012 -009 -005 0002 0004 0003 0009 0003 0000 -003 -005 -007 0019 2100 -012 0800.
-009 -008 -014 -016 -012 -034 -054 -050 -067 -045 -002 0003
0013 0025 0034 0040 0046 0050 0052 0051 0037 0010 -005 -036 0055 1450 -072 0507.
-037 -038 -047 -056 -067 -087 -092 -081 //// //// //// ////
//// 0000 0016 0020 0028 0045 0046 0044 0041 0021 -036 -050 0051 1526 -096 0302.
-047 -036 -036 -035 -041 -030 -038 -040 -046 -056 -038 -042
-002 0022 0046 0075 0094 0113 0112 0098 0078 0061 0025 0023 0120 1412 -064 0605.
0058 0054 0039 -022 -008 0036 0017 -019 -015 -038 -065 -067
0004 0040 0043 0053 0060 0068 0064 0061 0058 0019 -031 -034 0070 1502 -069 0757.
-041 -057 -061 -061 -057 -071 -069 -062 -069 -056 -061 -053
-026 -003 0014 0029 0033 0039 0046 0048 0040 0022 -016 0014 0051 1432 -074 0250.
-003 -004 -002 0005 0011 0013 -008 -008 0008 0013 0019 0019
0016 0070 0090 0104 0123 0134 0138 0142 0124 0068 0047 0040 0146 1439 -024 0413.
0031 0029 -004 0009 0006 0008 0016 0018 0024 0007 -029 -010
0023 0066 0087 0109 0117 0122 0121 0125 0112 0056 0068 0065 0129 1338 -031 0704.
0047 0046 0032 0021 0018 0014 0010 0008 -025 -042 -034 -037
-009 0038 0058 0077 0095 0104 0094 0091 0090 0078 0056 0055 0105 1359 -056 0717.
0051 0056 0050 0033 0004 0009 0002 -001 0056 0025 0015 -007
0036 0080 0090 0107 0121 0118 0136 0133 0123 0064 0040 0014 0138 1540 -012 0338.
0059 0070 0073 0061 0058 0026 0016 0001 -016 -037 -053 -028
0014 0060 0083 0083 0092 0089 0091 0089 0082 0072 0063 0052 0095 1303 -053 0657=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
////// ////// ////// ////// ////// //////
////// 218015 ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 023005
////// ////// 042020 104014 078024 //////
////// 061049 ////// 067033 050028 054030.
047032 038031 020021 017021 019021 329010
007017 033019 068020 053018 037013 058008
085009 005011 265009 300009 062006 287012
250023 184025 164010 106006 304007 066015.
033006 ////// 025007 049014 055032 059029
065034 067028 078014 ////// 023008 119010
311009 ////// ////// 082013 049013 064036
078028 076034 068037 060038 057033 060045.
067028 063028 026018 019016 037012 033015
036014 022009 028014 046015 053017 047017
037023 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 016011 053016 067010 086012 080010
050011 074015 064017 068011 057009 324005.
323006 315006 355006 016010 018007 003010
359008 036010 013005 050010 041010 013010
323012 047023 ////// ////// 079026 074031
067024 ////// 059020 028007 340005 303008.
PPC000 281007 289010 252011 288007 282010
265011 275008 PPC000 295008 307005 032006
081015 041016 062040 071037 062022 087018
081023 089020 064028 071025 063020 049019.
049020 060016 010011 049017 041012 047014
059015 020010 348006 068007 336010 PPC000
336011 126005 232011 286017 248023 247021
////// 150013 133011 032006 315006 030007.
029009 007007 358005 020007 320009 301006
300006 284013 PPC000 172013 276009 PPC000
PPC000 029009 155009 088007 151012 064009
095013 232008 082011 017008 331006 288009.
277010 039008 253015 281015 240025 250030
265041 269030 280018 239019 256019 302011
237018 255019 298079 314077 330077 300070
////// 297049 303073 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 270027 050016 166010
192020 146017 175018 192013 PPC000 285017.
305010 263013 238007 288010 191007 PPC000
234018 253018 261013 326010 187008 285011
229025 ////// ////// ////// ////// //////
184020 183023 218010 285018 223019 239022.
281015 068014 033013 059023 039009 018016
025010 001016 013016 037027 022022 064027
039025 064027 067037 053025 077029 034025
075030 075016 ////// 022008 006007 013011.
052005 016013 003013 303007 338011 324009
292006 296012 207006 281013 298015 PPC000
210008 193008 232013 029008 156016 158013
068008 074018 115009 279010 280010 280012.
260012 279010 258006 269013 262009 259012
276014 227014 291011 238012 280015 255005
178005 200014 240010 PPC000 206011 202009
////// 198005 067006 016005 333010 296012.
274014 271014 300012 278009 252014 276012
283012 288008 344006 228017 240010 332010
293004 094008 059023 052025 065032 064039
077031 080019 039021 036026 051023 062020.
050024 359017 025019 019018 015017 041033
036020 028017 050021 034015 095013 062019
358012 020017 026016 007007 050010 PPC000
PPC000 061007 085010 108005 PPC000 257009.
324010 250008 208012 209018 228013 233013
207013 238009 245009 269014 240011 250010
244008 025018 063023 076031 025009 006011
011006 075006 071010 082045 087029 063025.
053021 063028 063033 046026 070033 064026
046023 059020 053020 070028 062014 035010
017014 035019 062021 093028 062027 075037
094032 068028 085017 063018 061018 053009.
313005 343006 276005 247009 192008 208015
224018 241008 276007 249015 294044 309031
336021 298055 296054 295044 282082 285063
280065 314036 318036 293035 285025 257014.
////// 313005 ////// 264010 232011 286015
PPC000 181004 ////// ////// ////// //////
////// ////// 105007 142013 328012 146014
062013 127016 210008 086010 300012 318015.
284014 232016 259024 257018 235015 243026
236018 241020 258006 255011 174011 261014
228024 244018 219021 242039 266034 275037
304059 294062 305060 309029 248021 299027.
316033 021007 316026 332007 306011 331021
140011 PPC000 295026 012006 280013 272006
197006 087011 320009 228006 146014 //////
030010 072015 059013 042008 PPC000 297008.
297009 312009 PPC000 ////// 328008 326008
316008 292010 328012 190007 260007 PPC000
221004 ////// 306007 036015 061020 071021
////// 061028 051022 ////// 342009 354009.
022009 315006 295008 268011 277009 265013
273013 319006 251033 221027 238020 217011
193011 259030 267010 338007 000013 341010
313031 255031 242024 257020 240021 135004.
315009 209007 266011 254014 240010 284013
265009 296010 172006 185012 304012 257012
////// 025004 076007 065009 109009 184017
154023 140009 194009 257011 056012 059016.
041021 058028 028027 035021 017013 356019
017014 351008 349007 291010 310013 286011
321007 243012 216013 204018 254022 185013
175016 188012 201007 034006 314005 330004.
338008 047010 327008 282009 301012 235014
284004 251027 306048 218014 313011 340013
243018 327013 307017 298022 268020 298017
293022 305024 286027 298011 266009 294026.
300032 298038 320029 309030 300026 200012
156009 278012 293015 334008 287016 282013
248009 130006 262005 011012 050017 082039
082031 ////// 066023 051019 042010 347006=
////// ////// ////// ////// ////// //////
////// 223014 ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 016005
////// ////// 047020 116014 080024 //////
////// 063047 ////// 062034 053028 053027.
046033 037029 016022 017022 014020 354010
006016 036018 065019 054018 039014 039009
076010 015010 273009 358007 035007 269013
238020 191021 158010 117006 301008 070013.
050007 ////// 023007 048015 056027 060029
064028 066028 074020 ////// 028010 136010
300009 ////// ////// 072014 062014 068034
079029 078037 069039 056035 056032 058035.
070029 063031 034022 021017 025012 033014
033015 017010 029012 044015 044014 037016
036022 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 031014 055015 061012 082013 080010
060011 078015 067015 074011 062009 331004.
335006 356006 014007 004009 008008 010009
012007 030008 348005 045010 034010 014009
359012 040022 ////// ////// 078025 078027
064024 ////// 056019 021007 355006 310008.
320004 286007 294011 255013 291007 282011
265011 278008 247004 293009 332007 015006
074014 041016 060034 069037 060023 082020
079026 083024 064031 071025 066021 044020.
048020 055017 021012 050016 045012 047014
057017 019009 356008 072008 336009 PPC000
334010 091006 221010 275018 256019 225018
