O2215 3425N 11233E 003390 003390 105 000 S15 91999999919999199999 0 2009 02
P=
TB
-002 -003 -005 -005 -007 -005 -007 -007 -007 -008 -008 -008
-006 -005 -005 0000 0011 0022 0026 0024 0020 0016 0012 0011 0030 1519 -008 0321.
0010 0010 0010 0009 0009 0012 0008 0009 0008 0006 0007 0011
0018 0020 0023 0027 0017 0017 0015 0021 0013 0013 0013 0014 0029 1143 0006 0519.
0013 0013 0009 0010 0014 //// //// //// //// //// //// ////
//// //// 0038 0050 0064 0068 0076 0072 0068 0053 0044 0033 0078 1456 0009 2251.
0027 0028 0020 0016 0016 //// //// //// //// //// //// ////
0007 0028 0047 0061 0085 0104 0114 0112 0103 //// //// //// 0117 1502 -010 0829.
//// //// //// //// //// //// //// //// //// //// //// ////
0027 0042 0047 0090 0081 0078 0098 0101 //// //// //// //// 0105 1549 0017 0821.
//// //// //// //// //// //// //// //// //// //// //// ////
//// 0057 0067 0084 0107 0112 0119 0119 0109 //// //// //// 0123 1445 //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// 0046
0062 0083 0103 0124 0131 0142 0149 0147 0140 0121 //// //// 0156 1512 //// ////.
//// //// //// //// //// //// //// //// //// //// //// 0055
0096 0110 0123 0154 0178 0197 0207 0215 0200 //// //// //// 0217 1552 //// ////.
//// //// //// //// //// //// //// //// //// //// //// 0059
0085 0107 0129 0143 0153 0158 0158 0155 0154 //// //// //// 0168 1257 //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// 0121 0125 //// //// //// //// 0131 1527 //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
0057 0048 0039 0044 0048 0044 0047 0045 0044 0039 //// //// 0057 0903 0035 1049.
//// //// //// //// //// //// //// //// //// //// //// ////
0027 0034 0033 0039 0043 0042 0039 0035 0032 0033 0030 0028 0047 1306 0026 0850.
0026 0021 0011 0008 0005 0004 0005 0004 0002 0002 0002 0001
0005 0012 0016 0018 0028 0028 0027 0025 0021 0020 0015 0011 0032 1333 0000 0720.
0013 0013 0013 0013 //// //// //// 0013 0014 //// //// ////
//// 0025 0031 0035 0035 0027 0026 0023 //// //// //// //// 0037 1211 0010 2003.
//// //// //// //// //// //// //// //// //// //// //// ////
0004 0017 0039 0067 0082 0078 0086 0086 0080 0072 0069 0060 0089 1422 0004 0902.
0059 0055 0055 0048 0039 0042 0035 0028 0014 0005 -001 0003
0031 0046 0057 0073 0086 0102 0098 0102 0089 0079 0077 0072 0110 1406 -002 0646.
0065 0063 0055 0051 0056 0055 0041 0041 0037 0018 0013 0018
0032 0059 0079 0100 0115 0132 0137 0134 0122 0112 0104 0096 0148 1511 0012 0650.
0096 0085 0081 0074 0068 0064 0062 0065 0071 0080 0074 0067
0072 0069 0063 0056 0053 0054 0053 0053 0052 0050 0049 0049 0097 2004 0048 1956.
0049 0051 0046 0040 0038 0031 0029 0029 0029 //// //// ////
0037 0048 0059 0073 0086 0080 0079 0071 0067 0061 0053 0047 0090 1312 0019 0527.
0041 0041 0039 0035 0034 0037 0034 0033 0032 0034 0033 0033
0033 0036 0034 0029 0029 0029 0026 0024 0015 0017 0019 0017 0047 2001 0015 1643.
0016 0017 0018 0015 0014 0013 0013 0012 0014 0017 0015 0010
0003 0001 0002 0006 -004 -007 -008 -010 -011 -012 -011 -011 0020 2223 -012 1618.
-010 -010 -009 -010 -011 -011 -010 -010 -011 -011 -010 -010
-007 -004 0002 0004 0006 0005 0004 -001 -001 -002 0000 0000 0011 1120 -012 2004.
0000 0000 0000 -001 -003 -001 0000 0001 -003 -007 -006 0001
0008 0028 0047 0066 0069 0077 0078 0084 0079 0066 0056 0049 0087 1445 -009 0616.
0046 0042 0037 0036 0034 0030 0032 0031 0031 0019 0014 0018
0029 0031 0052 0066 0076 0087 0102 0101 0099 0089 0076 0067 0111 1517 0013 0712=
I=
E=
U=
N=
H=
C=
V=
R6
0=
0=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
304013 314014 337009 328013 343018 306022
341018 308013 319017 328020 322018 329027
326024 315021 308018 319013 347016 346013
330018 329024 347018 326022 325024 326017.
333011 106012 318014 307013 042011 306012
320009 321011 PPC002 111011 119011 049009
321010 314011 307011 314010 341023 342012
329017 334007 331020 348009 344011 061011.
319009 104006 339013 059011 119013 //////
////// ////// ////// ////// ////// //////
////// ////// 080017 125017 080014 226017
134023 144034 140029 135027 142026 106014.
109020 118026 110020 113028 ////// //////
////// ////// ////// ////// ////// //////
011007 226016 170008 308011 125016 178007
280016 290013 167018 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
046004 314017 340022 157010 313023 348026
006012 ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 268014 328009 298009 144033 152043
128042 153036 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 302019
320031 329029 336046 303040 313046 295037
261040 283034 303024 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 208004
098010 149010 311019 274017 260018 259018
276024 268020 331010 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
269007 ////// 137012 229013 338027 339028
322018 334024 007010 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
224015 232019 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 089060 075050 096036 107046
110055 097040 115033 107025 ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
346015 342013 334021 335017 001011 145034
130021 121029 092034 118026 103037 118043.
120027 114028 110049 099045 093037 103058
110042 125039 097032 102037 105040 095049
121034 137028 152028 125030 139029 //////
134023 142023 195014 144021 145013 101014.
139017 065007 122014 133014 ////// //////
////// 117018 133019 ////// ////// //////
////// ////// 107026 140035 150017 126038
090040 089033 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 286015 315036 294073 301065 303084
303083 306047 309066 293039 298064 301027.
334036 322030 312018 326028 346021 323036
326017 313036 343021 345029 341015 342016
284013 349020 308014 330012 309017 135022
201020 136052 147042 141044 144047 133043.
137046 141039 144040 141040 143046 110028
120017 105021 PPC002 347017 059014 329018
343015 306012 305017 348016 355017 108010
054020 128023 133027 141033 132018 098019.
120015 084009 116009 358005 343012 074007
002018 321016 344035 055023 102023 098018
354013 053031 087023 095029 105041 110027
097023 121023 109022 117022 114018 136023.
139017 140021 142031 121018 123025 117026
101027 096023 139013 ////// ////// //////
////// 036007 115024 147020 150031 135037
125034 132049 138031 150031 134023 144033.
097038 101019 144034 152022 PPC002 013005
293006 303015 343021 300007 206007 199011
339003 216011 295011 303009 049017 343019
038018 037027 059026 043023 113012 134027.
105028 ////// 121030 134027 113026 343030
346030 071051 117036 152031 151009 126018
125022 123018 343010 296011 043020 341015
340015 005027 017016 356017 025005 328014.
344013 321007 229014 286011 348012 348008
348011 347009 064007 109008 150008 178009
153013 122012 118014 170013 155011 296012
281010 301017 291013 301010 315012 339009.
290013 101008 115014 335006 320008 242011
194017 301015 334010 331009 335015 283016
037006 ////// 337028 304033 356020 047024
046021 348016 019018 098011 039008 140024.
119022 139022 125015 088019 060011 327009
348012 324012 241009 208021 268009 334020
309011 277014 352017 325016 302021 303025
044016 309010 141018 141032 140027 135034=
308011 307014 345009 333012 343022 306019
333016 319015 322018 327019 331021 324025
332023 321023 319017 324016 342018 347014
332018 323027 337020 335017 325020 331016.
336013 107013 307010 310008 021012 305009
314010 324010 004006 108013 118008 055008
325009 318011 308011 312008 336023 341009
324015 338007 330020 015009 346009 031011.
326009 079007 332019 045008 124012 //////
////// ////// ////// ////// ////// //////
////// ////// 094015 114018 106015 231019
136028 145030 144029 136024 143023 099015.
103021 119023 112020 114024 ////// //////
////// ////// ////// ////// ////// //////
075005 219015 145010 314016 148018 247009
309012 301017 165023 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
PPC000 307016 339022 184006 311027 338026
345014 ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
