O2220 3418N 11233E 002941 002941 105 000 S15 91999999919999199999 0 2009 01
P=
TB
-039 -064 -062 -071 -080 -092 -091 -087 -094 -108 -106 -103
-044 -020 0004 0023 0025 0039 0035 0026 0007 -026 -030 -038 0042 1401 -114 0614.
-031 -035 -043 -039 -041 -058 -066 -063 -062 -071 -065 -061
-025 -007 0008 0021 0031 0039 0032 0030 0020 0010 0013 0009 0044 1527 -077 0738.
0006 0005 0002 0000 0001 -001 -002 -002 -004 -004 -006 -010
0002 0018 0015 0021 0031 0028 0034 0031 0020 -010 -020 -034 0038 1503 -038 1954.
-030 -037 -038 -033 -031 -034 -024 -024 -022 -020 -019 -020
-012 0006 0017 0026 0028 0030 0029 0026 0012 -016 -019 -032 0037 1232 -045 2238.
-033 -045 -012 -010 -009 -020 -017 -023 -030 -029 -032 -032
-021 -010 0007 0024 0025 0025 0027 0023 0020 0013 0012 0007 0029 1220 -048 2203.
0005 -003 -005 -013 -015 -020 -031 -045 -048 -038 -040 -040
-027 -004 0013 0034 0051 0052 0059 0060 0045 0024 0019 -004 0061 1453 -049 0454.
-004 -021 -032 -047 -059 -051 -032 -030 -050 -044 -052 -042
-016 0004 0027 0043 0053 0068 0071 0066 0050 0013 -004 -022 0075 1413 -063 0157.
-014 -024 -039 -053 -046 -064 -040 -050 -036 -040 -033 -036
-002 0041 0057 0066 0071 0077 0069 0061 0047 0032 0020 0015 0078 1359 -069 0219.
0003 -005 -011 -016 -031 -032 -049 -051 -052 -052 -051 -050
-010 0015 0032 0045 0052 0057 0057 0048 0034 0014 -008 -030 0060 1346 -064 0412.
-054 -067 -066 -075 -082 -074 -089 -103 -112 -098 -113 -084
-035 0003 0037 0046 0064 0068 0072 0072 0054 0026 0006 -006 0077 1522 -124 0714.
-007 -029 -032 -018 -021 -028 -022 -011 -029 -028 -038 -030
0005 0031 0049 0059 0061 0055 0052 0050 0027 -001 -021 -035 0063 1213 -047 0723.
-059 -066 -056 -068 -085 -079 -086 -081 -095 -100 -085 -065
-018 0000 0013 0024 0033 0035 0034 0026 0014 -004 -026 -020 0039 1450 -120 0517.
-033 -042 -042 -061 -059 -063 -064 -060 -069 -075 -069 -081
-018 0006 0031 0056 0078 0093 0096 0086 0073 0036 0029 -009 0099 1509 -085 0749.
-029 -022 -032 -037 -033 -011 -029 -030 -051 -058 -057 -072
-014 0015 0031 0048 0051 0056 0050 0042 0027 -002 -024 -037 0058 1442 -083 0739.
-046 -049 -054 -066 -070 -079 -060 -085 -066 -083 -097 -097
-038 -019 0000 0022 0035 0042 0052 0051 0034 0013 -005 -016 0058 1455 -104 0721.
-013 -034 -028 -017 -031 -031 -032 -041 -045 -045 -063 -040
-002 0042 0060 0069 0075 0085 0092 0092 0066 0028 -004 -013 0098 1449 -065 0649.
-026 -038 -035 -046 -053 -045 -032 -021 -027 -033 -042 -037
-016 -001 0020 0033 0037 0046 0046 0054 0039 0003 0004 -034 0057 1546 -063 0122.
-042 -051 -014 -009 0003 -003 -011 -018 -012 0018 0034 0024
0050 0073 0089 0099 0108 0112 0113 0107 0092 0062 0031 0010 0115 1351 -058 2202.
0026 -026 -029 -030 -021 -044 -040 -020 -032 -009 0003 -001
0020 0025 0036 0021 0022 0029 0034 0034 0034 0018 0008 -011 0039 1105 -057 0137.
-008 -008 -022 -019 -016 -012 -006 -010 -007 -010 -009 -007
0011 0029 0043 0079 0093 0107 0099 0100 0096 0084 0079 0071 0108 1340 -030 2334.
0065 0058 0063 0065 0055 0030 0025 0021 -004 -009 0011 -007
0050 0091 0103 0129 0156 0170 0171 0165 0132 0093 0075 0087 0178 1514 -020 0740.
0071 0069 0051 0054 0049 0041 0044 0029 0000 -018 -017 -010
0043 0084 0090 0094 0091 0088 0077 0069 0055 0040 0021 0012 0104 1230 -022 0702.
0000 -013 -023 -031 -039 -047 -053 -060 -062 -069 -074 -076
-071 -059 -051 -046 -043 -045 -048 -051 -056 -066 -068 -073 0012 2001 -077 0752.
-080 -077 -076 -071 -077 -072 -072 -069 -072 -071 -074 -063
-043 -026 -011 -002 0010 0017 0026 0026 0014 -011 -030 -044 0030 1527 -081 2104.
-051 -067 -076 -079 -088 -084 -093 -082 -083 -075 -062 -067
-042 -011 0025 0067 0075 0077 0079 0063 0055 0040 0023 0028 0085 1458 -095 0256.
0021 0024 0023 0021 0020 0015 0010 0001 -015 -039 -039 -031
0013 0038 0058 0083 0098 0107 0110 0108 0095 0045 0034 0038 0115 1509 -056 0745.
0029 0003 -010 -033 -028 -032 -045 -019 -043 -050 -052 -047
-011 0041 0059 0089 0106 0108 0119 0112 0102 0086 0077 0069 0123 1438 -056 0731.
0065 0055 0050 0055 0055 0045 0029 0026 0016 0026 0003 -005
0033 0042 0052 0057 0070 0085 0092 0089 0080 0067 0062 0051 0098 1448 -024 0741.
0041 0018 0039 0019 0025 0015 0018 0012 0000 -021 -016 -016
0019 0051 0080 0096 0118 0132 0128 0126 0110 0074 0065 0038 0138 1435 -033 0725.
0034 0016 0013 0006 0001 -017 -032 -036 -019 -034 -038 -050
-003 0030 0072 0084 0093 0088 0100 0092 0085 0067 0046 0034 0105 1454 -054 0731.
0031 0038 0035 0028 0005 -006 -018 -025 -032 -016 -024 -028
-016 0000 0016 0019 0023 0030 0031 0031 0037 0030 0008 0005 0042 1627 -037 0410=
I=
E=
U=
N=
H=
C=
V=
R6
0=
0=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
039011 028013 045009 ////// PPC000 PPC000
015007 348008 310008 PPC000 035005 PPC000
348009 290014 PPC002 146026 148033 126029
128037 121043 126042 120032 119032 126037.
112037 113035 118030 139022 140020 PPC000
095011 134005 022007 159006 066006 120014
144024 148020 137037 147040 130044 141044
127046 109047 128041 122035 118043 120045.
119039 116034 120030 132024 116026 129031
125025 126012 101013 153015 140019 119013
132020 142023 139039 107028 124036 134042
130020 123033 136032 104031 097027 115031.
116023 105022 133034 143033 119023 348018
271010 350006 260010 218003 277024 057009
359017 297025 294011 053007 091018 114018
126024 125026 127017 116019 070010 066013.
094016 127019 118027 095021 095021 100013
093017 286014 324012 286010 PPC000 298011
257017 323023 320021 293024 314024 325018
316019 332018 347020 348007 274006 315016.
338009 287011 303013 350020 351010 292008
317008 352009 352019 001022 345025 334019
330024 322017 326013 343014 318043 312045
319058 317042 331035 347014 216011 116021.
078006 PPC000 PPC001 014007 PPC000 259010
327015 325014 307029 320024 355026 341017
343022 329029 327030 325025 345026 317025
294027 PPC002 163016 118010 117031 124023.
172006 150015 159014 115007 338013 345007
006017 357012 347027 002017 323036 316023
302050 295099 304124 297099 295146 291097
309137 306112 297112 303075 309069 311069.
322056 324053 317054 326038 355033 341030
339028 310009 338030 342031 355026 341017
351026 316046 354043 322083 304079 320077
326075 304066 310058 290045 287021 351015.
PPC000 343009 319024 333024 PPC001 295010
253009 014006 208006 PPC000 PPC000 323009
306005 318015 132015 122031 154037 136044
134056 122045 115043 119041 121035 138033.
173010 151006 101011 320038 339034 344024
355038 012035 351050 351028 349029 345017
348026 346036 335046 340035 324042 021036
033014 322040 322034 352029 120039 124028.
113020 110025 074015 173015 005005 345013
015011 214011 061010 000015 334035 309041
311084 292111 305108 308127 300100 318110
314090 303089 317080 307050 322022 305055.
313036 318036 340027 000010 357019 310022
356037 344040 333035 317029 267020 322007
325014 316029 293038 308028 321038 320056
292055 319033 305022 300005 016009 311012.
001017 317019 306030 319032 305024 352046
354021 025008 357017 323015 028007 095007
248011 247019 241013 220013 140031 126034
146040 133041 138038 126031 112038 123036.
131036 130042 124036 125029 127028 117024
126039 129027 148024 150022 134011 124021
147034 147042 137041 158034 127026 138027
132033 143033 143029 045009 121005 PPC000.
356017 029015 326016 357018 281019 298020
316030 338032 276026 280020 007022 319017
266024 341020 316038 334035 331013 353011
102012 122015 113035 141030 127032 121021.
////// 090015 335007 PPC000 334009 300014
285018 289023 010026 292023 346032 269019
315011 337010 312012 260013 207008 272010
194015 158010 141017 113024 122017 079015.
PPC000 035005 007012 013026 344013 022015
239021 335021 349035 317065 321064 289030
311085 304083 298077 ////// 303092 289106
295084 319068 309034 318033 253008 230011.
019020 PPC000 224011 081010 198010 113007
128013 138026 128021 131017 134017 130022
135034 147040 137043 125028 173019 149015
279025 090008 192003 285011 278009 001007.
PPC000 011015 PPC002 020016 020006 351015
242015 298009 194017 023017 237022 349033
346042 320046 333039 298069 300064 317077
310079 311072 294071 303060 305052 303043.
301034 298039 325032 315057 334035 342034
253028 255025 260012 030025 251021 294015
331025 329028 315036 329024 273015 304048
255016 124014 136024 118039 118037 110050.
128058 155037 154062 145032 147039 144044
155038 163032 146029 129029 112019 358027
332046 324074 299104 308114 305128 311130
299117 317128 317104 319082 339072 338089.
334089 319094 337104 323089 338112 330089
334109 318080 314080 306110 310113 318127
311145 303135 313146 313139 314124 310133
304138 314130 310141 305106 309117 297064.
312059 295057 283054 296082 307063 299081
297081 298111 304093 297077 304065 298079
288099 308091 307126 311137 308115 297159
299106 304073 318047 320055 331030 301014.
324028 296032 346011 344017 291013 349021
343029 264014 342028 316013 354036 354018
265012 293022 293044 298068 308109 291100
302106 304079 326068 299063 313053 296081.
311063 312079 315068 315066 294066 303054
306059 300061 341016 015008 358020 156008
020004 315022 337015 006038 315038 292043
327030 278026 306011 098032 111036 114040.
132031 142023 141034 127029 129026 146029
116025 148035 014009 PPC000 118024 115019
181015 142032 115030 144028 150041 131050
123057 132069 129070 110073 111071 111075.
117064 135055 136040 136050 121051 146039
140018 150030 143028 147035 152037 132019
151025 146022 123028 142021 156014 110010
210017 129022 134015 121024 123028 120023.
208010 043012 357022 323021 319028 310010
277021 320018 299022 146006 326010 017009
349032 320039 308042 341042 286023 303031
342028 328021 003014 110024 114026 107017.
096016 089025 077017 153007 224008 035010
021011 019009 338018 298012 304012 022011
318011 000006 131029 137047 140052 127047
123058 129050 139048 120047 122038 140033.
135036 137025 137020 102013 098014 301021
307017 PPC000 034011 221009 258005 298017
306017 301022 318012 321022 312028 329016
342016 PPC000 130027 131031 329021 306021=
036012 038010 040008 ////// 082005 056003
024004 340008 318009 PPC000 038006 PPC000
002008 301014 328004 145031 139032 126035
127042 119047 124042 122032 117033 124036.
114037 112035 117028 141021 146014 PPC000
089014 128005 021008 160006 069006 119013
145024 149021 146030 137035 139043 138042
123046 113044 128039 121037 122046 120045.
121040 116040 124031 129024 116027 133027
125025 126019 101011 152014 141019 120013
134019 126020 146035 117030 117032 134041
128029 127029 132034 102028 098027 115028.
119026 106025 136031 143033 120025 343016
280006 341008 262012 240007 284019 055009
358017 311021 314013 085016 094013 122022
140021 134025 129016 113018 077013 069012.
097020 127017 116028 097020 097018 099014
096015 294016 315012 272007 PPC002 305013
259011 317022 316019 299022 310021 327020
314019 336019 340018 350008 278006 310015.
336009 286012 305012 350019 341009 285008
309010 329010 353017 005023 345025 338023
332019 325018 319014 317013 324045 314044
317049 319048 327033 345015 251006 122017.
094014 117005 253009 018008 PPC000 260008
