O2220 3418N 11233E 002941 002941 105 000 S15 91999999919999199999 0 2010 02
P=
TB
0056 0049 0033 0029 0001 -008 -009 -005 0002 -010 -008 0001
0007 0039 0031 0035 0054 0092 0094 0099 0087 0042 0024 0003 0099 1550 -024 0308.
-003 0001 -010 -019 -021 -012 -017 -017 -017 -026 -026 -015
-006 -002 0017 0033 0048 0060 0064 0064 0060 0040 0015 0000 0072 1513 -032 0736.
0007 -003 -010 -020 -024 -025 -023 -026 -037 -036 -037 -036
-016 0003 0013 0020 0039 0044 0049 0049 0044 0033 0016 0006 0052 1509 -039 0742.
0009 -008 -019 -025 -030 -022 -033 -028 -044 -041 -033 -036
-008 0018 0038 0048 0059 0068 0073 0070 0063 0054 0047 0049 0077 1412 -045 0501.
0034 0025 0004 0001 -010 -017 -016 -021 -008 -007 -006 -004
0003 0010 0015 0019 0020 0021 0024 0036 0021 0017 0017 0016 0048 2001 -024 0408.
0015 0016 0017 0018 0017 0013 0011 0009 0008 0008 0004 0003
-006 -010 -014 -009 -009 -010 -009 -008 -006 -006 -006 //// 0018 2358 -015 1026.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// 0004 0025 0027 0027 0025 0021 //// //// 0032 1432 0002 1227.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// 0030 0032 0035 0043 0041 0042 //// //// //// //// 0043 1400 0025 1025.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// //// //// //// ////.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// -023 -020 -019 -014 -012 -021 -052 -064 -065 -008 1435 -065 1958.
-053 -048 -036 -036 -034 -035 //// //// //// //// //// ////
-035 -033 -022 -014 -006 -004 0002 0004 -002 -012 -019 -026 0006 1532 -065 2002.
-032 -036 -044 -044 -033 -026 -032 -043 -037 -039 -041 -035
-028 -018 -006 -001 0002 0002 0000 -003 -004 -007 -010 -013 0004 1256 -044 2300.
-014 -015 -022 -029 -036 -036 -037 -037 -037 -035 -034 -035
-021 -007 0000 0006 0014 0008 0000 -005 -008 -008 -009 -003 0020 1306 -039 0815.
-006 -007 -019 -020 -020 -024 -022 -025 -025 -027 -027 -026
-028 -029 -024 -017 -013 -012 -011 -009 -013 -017 -022 -025 -003 2001 -029 0847.
-027 -033 -044 -044 -055 -054 -049 -049 -057 -057 -054 -051
-036 -015 -002 0017 0010 0017 0019 0023 0019 0006 -003 -006 0026 1527 -063 0431.
-012 -020 -029 -019 -019 -017 -015 -026 -016 -002 0004 0010
0014 0015 0023 0027 0037 0040 0043 0038 0028 0016 -001 -010 0044 1329 -032 2254.
-006 -008 -018 -026 -032 -032 -039 -037 -035 -037 -040 -029
0006 0022 0046 0065 0071 0076 0080 0078 0063 0049 0029 0013 0084 1521 -047 0532.
0013 0001 -015 -020 -019 -011 -008 -010 -012 -040 -050 0004
0031 0063 0082 0102 0121 0130 0142 0145 0127 0082 0064 0040 0147 1519 -057 0633.
0038 0007 0014 -010 0004 -015 -015 -031 -019 -031 -033 0008
0042 0083 0122 0146 0163 0175 0178 0177 0162 0127 0108 0101 0186 1445 -040 0526.
0087 0086 0045 0022 0063 0029 0025 0030 0007 0015 0022 0060
0079 0136 0155 0170 0191 0211 0212 0216 0199 0151 0113 0103 0221 1525 -003 0624.
0086 0078 0069 0065 0061 0055 0047 0029 0049 0044 0036 0043
0074 0095 0099 0132 0161 0162 0170 0166 0151 0127 0110 0103 0175 1428 0023 0632.
0101 0098 0092 0081 0075 0040 0036 0028 0003 0014 0030 0038
0088 0121 0137 0172 0186 0203 0201 0183 0171 0154 0143 0138 0205 1428 0000 0451.
0135 0130 0126 0123 0102 0085 0078 0079 0071 0082 0082 0084
0085 0100 0126 0143 0160 0185 0187 0184 0171 0166 0137 0123 0192 1418 0068 0442.
0113 0124 0107 0099 0092 0087 0084 0077 0069 0073 0066 0063
0086 0112 0130 0139 0145 0153 0150 0148 0145 0123 0097 0083 0155 1403 0057 0744.
0063 0051 0050 0036 0030 0022 0038 0041 0044 0030 0027 0043
0065 0085 0094 0113 0119 0135 0134 0120 0098 0088 0085 0083 0142 1426 0015 0208.
0082 0081 0081 0078 0070 0066 0065 0062 0056 0054 0055 0055
0062 0070 0077 0100 0108 0113 0113 0102 0094 0082 0070 0064 0121 1414 0054 0541.
0065 0062 0058 0045 0056 0056 0053 0048 0039 0039 0041 0037
0036 0034 0032 0035 0035 0028 0019 0020 0019 0013 0014 0014 0067 2140 0013 1755=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
091024 086017 090027 070017 146007 PPC000
PPC000 349014 011014 320019 007017 019019
308007 344018 341018 346019 268016 329043
322037 337036 336016 PPC002 079014 PPC000.
147009 324006 PPC000 248008 284009 291015
282012 271018 273019 301012 312019 275019
////// 331018 309025 343024 306025 303023
297016 004009 319019 335007 077003 114029.
132039 121037 120039 112029 129028 088021
081017 261016 286016 309018 349008 357012
320019 293014 256011 139012 155028 119020
126021 135038 127039 131034 132027 109025.
103028 118034 118025 129028 116026 133023
307018 329012 PPC002 PPC000 304011 003009
333008 142005 136053 128054 135061 117054
108065 114074 112053 115050 116047 120052.
115017 246013 265008 316016 315011 338016
352013 315015 338019 287023 309023 324020
333010 ////// 320013 002014 353020 //////
351026 128027 280022 306016 267016 287010.
299012 317013 244015 097028 071026 103023
082022 105019 118011 096023 091025 112014
113045 100035 073013 104017 193006 183012
////// 106014 116025 118028 ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// 225010 122027
118042 099036 128033 132036 ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// 110021 123028 092021 005006
////// 144019 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// 344012 296017 296019
331016 339011 328006 099009 074014 172011.
PPC000 147006 105023 124035 118034 116045
////// ////// ////// ////// ////// //////
121033 132047 130044 134041 113037 134039
120032 130033 128036 119037 113030 120031.
120028 134033 129023 133020 130019 150028
109029 137023 127017 127029 136036 137036
133033 135041 120054 126050 117052 120055
132064 121065 114049 137051 137054 137027.
138042 137045 147041 140042 136040 133028
117025 135009 127005 270010 312017 278016
331019 333018 329011 288009 144008 126035
132047 124047 122039 133026 135024 129032.
113023 118018 119045 117037 129031 096011
253010 247011 269011 019011 287008 084005
130017 120029 128038 132030 147012 142009
105008 341010 PPC002 313015 354004 301007.
240005 236007 136010 255007 122009 018006
326014 330004 PPC001 125008 250003 257005
139012 113028 118013 310009 184008 043007
028007 107016 141036 127038 120037 117037.
135017 264014 040014 337019 323024 322034
319033 320016 310034 289053 282019 301102
300071 300105 314119 309113 317117 297076
301096 290089 292076 287057 313045 272024.
282032 288046 315024 258013 287019 306033
309023 332029 318041 341036 266011 283012
293044 299044 299078 309088 311095 312099
289079 296091 312036 310025 264011 305028.
301038 290013 351015 025007 356013 354038
311016 324017 002014 178006 346011 015017
288020 258015 333019 225005 229006 144008
265027 268013 157027 120033 105028 103023.
188009 127023 118021 124023 192006 146011
066012 065009 214012 109006 100005 275006
333010 317012 053013 341009 129028 127035
137060 122062 118059 118054 115050 112051.
130044 153038 143031 132026 133031 141028
125022 124014 PPC000 266014 355018 000022
033012 314031 320027 331024 325026 004008
052014 288010 146019 118044 115038 137033.
321022 317023 280020 317024 357013 352017
001017 025019 340025 244009 350012 235008
349021 352028 340024 001016 135026 138044
127050 127065 124064 127059 121058 127045.
124049 125052 141041 153031 148047 094010
123011 122013 129018 329014 189009 127041
139045 159044 120085 128059 122068 116073
123085 123089 117073 116074 115082 106072.
118068 115061 117047 155027 141022 322012
349018 338018 328012 324020 330016 335015
315032 347017 335033 319040 331048 336040
342046 347031 348027 335035 331019 309029.
313027 346032 316034 315033 321028 258021
294020 290009 345017 282013 317011 314004
307018 300028 312021 312017 311016 340014
119048 114029 022009 186009 145031 138038.
142030 140025 082023 112030 113030 109020
347008 323025 281016 271010 357014 038010
147033 118047 119053 145044 136026 123031
129043 126055 135064 128049 134044 099027.
107038 109028 111025 112025 117030 105025
116024 127042 126038 112035 137035 130044
118033 124044 123043 109064 134080 119071
130101 129094 129094 121066 117052 116042.
108038 120026 276011 333006 336010 283017
304015 331011 307012 295013 305016 286019
271033 264027 114012 269012 236009 354033
325033 330029 309041 026021 315038 309033=
092022 091020 088025 077026 179005 202003
PPC001 348012 011012 320028 002017 021019
302009 333017 339019 344025 281014 316041
323043 330034 336019 PPC002 079012 PPC000.
161007 304007 281003 279006 266008 287013
276014 270019 272015 290012 310017 274020
////// 330022 311022 338018 298020 305022
319012 005010 329018 345007 PPC002 114028.
132037 122036 121036 116030 125030 088021
074018 251016 293016 310017 350008 352015
318017 296014 268008 120012 136022 132024
124022 136034 126033 132032 131026 109024.
102026 118032 120020 129026 117024 134022
305015 327013 191004 PPC002 298012 354010
320007 118005 134052 128055 129058 120057
114059 112069 112054 114052 117047 121049.
113018 250017 287008 318013 314011 331012
354013 315014 339020 287022 305029 318022
330013 ////// 321014 350014 349018 //////
