O2220 3418N 11233E 002941 002941 105 000 S15 91999999919999199999 0 2012 03
P=
TB
0034 0032 0031 0030 0030 0032 0029 0029 0028 0028 0031 0028
0026 0026 0026 0026 0024 0022 0022 0025 0028 0028 0027 0027 0036 2008 0020 1406.
0026 0027 0028 0026 0026 0027 0027 0025 //// //// //// ////
//// 0031 0041 0042 0045 0039 0043 0041 0036 0030 0027 0025 0050 1243 0025 0400.
0026 0023 0020 0015 0012 0010 0009 0009 0007 0005 //// ////
//// 0002 0004 0013 0016 0007 0006 0008 //// //// //// //// 0027 2054 0000 1028.
//// //// //// //// //// //// //// //// //// //// //// ////
0003 0012 0022 0029 0032 0034 0037 0033 0030 0027 0025 0025 0038 1456 0002 0908.
0025 0023 0022 0020 0020 0015 0018 0013 0013 0012 0012 0016
0038 0043 0059 0074 0087 0089 0097 0096 0091 0084 0075 0064 0102 1505 0010 0212.
0065 0056 0059 0048 0054 0046 0039 0045 0042 0048 0043 0046
0066 0074 0084 0106 0108 0117 0110 0109 0101 0093 0057 0071 0120 1512 0037 0732.
0064 0069 0068 0058 0052 0054 0048 0030 0039 0027 0028 0037
0064 0086 0104 0120 0124 0133 0130 0116 0106 0096 0087 0084 0144 1426 0024 0550.
0078 0071 0070 0063 0063 0063 0053 0053 0049 0048 0048 0058
0073 0089 0096 0087 0082 0088 0085 0078 0075 0068 0059 0049 0100 1049 0043 0621.
0047 0040 0041 0034 0021 0024 0021 0011 0019 0020 0025 0030
0042 0049 0063 0068 0083 0088 0090 0090 0087 0072 0058 0052 0099 1519 0010 0345.
0053 0046 0032 0015 0002 -003 -001 0001 -001 -010 0000 0019
0063 0083 0109 0134 0152 0158 0153 0159 0154 0128 0116 0098 0163 1347 -016 0558.
0094 0079 0086 0080 0064 0062 0038 0049 0034 0015 0010 0009
0019 0028 0036 0043 0056 0066 0069 0066 0059 0043 0029 0020 0102 2118 0007 0757.
0017 0005 0000 -002 -005 -012 -022 -026 -017 -034 -028 0002
0022 0041 0054 0057 0064 0067 0081 0077 0075 0064 0048 0034 0082 1532 -035 0559.
0045 0026 0014 -003 0007 0001 0008 0007 0005 -001 0012 0029
0058 0100 0125 0149 0162 0166 0170 0165 0155 0142 0124 0114 0175 1419 -006 0611.
0112 0106 0094 0089 0076 0059 0040 0034 0042 0039 0044 0070
0101 0118 0125 0137 0141 0149 0153 0153 0149 0136 0124 0110 0156 1424 0029 0430.
0106 0090 0086 0090 0088 0084 0082 0082 0082 0082 0080 0077
0080 0086 0083 0079 0082 0072 0057 0052 0052 0051 0051 //// 0111 2026 0050 1630.
//// //// //// //// //// //// //// //// //// //// //// 0050
0075 0096 0117 0142 0154 0161 0174 0176 0170 0154 0134 0081 0177 1558 0049 0809.
0075 0076 0070 0059 0050 0048 0053 0057 0061 0049 0031 0058
0091 0118 0145 0164 0179 0181 0183 0178 0169 0154 0138 0131 0186 1429 0029 0707.
0122 0112 0100 0084 0090 0079 0089 0094 0083 0063 0086 0109
0112 0106 0110 0120 0114 0114 0121 0109 0097 0083 0071 0055 0132 2010 0055 2000.
0046 0038 0028 0025 0017 0013 0017 0016 0010 //// //// ////
//// //// //// 0015 0017 0018 0019 //// //// //// //// //// 0055 2003 0009 0450.
//// //// //// //// //// //// //// //// //// //// //// ////
0027 0035 0047 0052 0064 0063 0065 0068 0062 0058 0054 0049 0069 1619 0022 0840.
0033 0036 0029 0028 0002 0000 0001 0020 //// //// //// ////
//// //// //// //// //// //// //// //// //// //// //// //// 0049 2003 -011 0251.
//// //// //// //// //// //// //// //// //// //// //// ////
//// //// //// 0057 0072 0078 //// //// //// //// //// //// 0079 1345 0057 1202.
//// //// //// //// //// //// //// //// //// //// //// 0087
0095 0106 0112 0119 0127 0129 0134 0135 0128 //// //// //// 0139 1555 0079 0745.
//// //// //// //// //// //// //// //// //// //// 0021 0073
0101 0126 0149 0175 0185 0202 0208 0207 0201 //// //// //// 0211 1545 0021 0702.
//// //// //// //// //// //// //// //// //// //// //// 0094
0118 0140 0175 0202 0208 0211 0228 0210 0200 //// //// //// 0232 1516 0083 0728.
//// //// //// //// //// //// //// //// //// //// //// 0092
0126 0152 0183 0207 0213 0208 0216 0214 0206 //// //// //// 0227 1445 0067 0716.
//// //// //// //// //// //// //// //// //// //// //// 0114
0141 0167 0192 0213 0225 0235 0253 0242 0228 //// //// //// 0256 1453 0101 0723.
//// //// //// //// //// //// //// //// //// //// //// 0125
0162 0174 0188 0207 0213 0220 0221 0207 //// //// //// //// 0230 1416 0104 0722.
//// //// //// //// //// //// //// //// //// //// //// ////
//// 0140 0150 0162 0181 0193 0198 0202 0197 //// //// //// 0206 1527 0132 0941.
//// //// //// //// //// //// //// //// //// //// //// 0140
0157 0170 0171 0184 0202 0195 0198 0186 0171 //// //// //// 0204 1223 0135 0734.
//// //// //// //// //// //// //// //// //// //// 0079 0113
0147 0168 0184 0201 0214 0220 0230 0233 0226 //// //// //// 0236 1545 0079 0713=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
126033 128035 127030 132026 120020 074017
168009 PPC000 104011 111009 267009 080010
230006 331010 330018 319019 301033 318031
305030 300026 287038 312018 287013 299023.
321020 307018 271012 220015 286009 274007
321011 317011 ////// ////// ////// //////
////// 160018 115046 098044 136046 126055
113052 125043 129046 121035 128030 123029.
117029 113033 114036 126042 122036 143023
310003 074014 313013 134014 ////// //////
////// ////// 329014 090020 107012 302015
207017 129036 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
326019 297005 117011 168024 130021 126036
124033 143031 136031 140031 136015 122020.
118019 120024 133009 124016 121022 092006
079008 193004 300010 321009 291016 126029
249013 334030 272026 304034 293045 315029
290078 291072 285071 291043 300044 301015.
308031 327033 342031 303045 298043 313026
295025 306035 304022 328041 322022 337025
328039 328042 310026 316030 358024 319047
344037 342033 014018 078011 076016 186008.
129029 112038 118026 118029 112023 196010
PPC002 113017 PPC000 019010 307009 309009
353017 303022 283021 313025 290010 302022
147042 135046 146050 145041 137042 140039.
122025 134024 074011 138016 098014 113030
130027 122031 138031 138030 112011 057007
072011 127020 169015 114044 089042 110036
091046 127041 147019 113029 088022 124020.
151019 129017 113033 113036 114027 116033
121035 126030 118026 120024 113031 069018
133036 144028 139032 070012 148019 211025
150028 134038 129036 124042 110041 111041.
113045 116046 129029 138031 140026 129025
147016 136016 268009 056011 283011 269014
350031 309033 330024 334041 292021 327022
199014 258027 236012 127024 048008 155018.
346008 093013 120017 180014 280010 288024
285010 097044 075031 137021 080038 104030
113025 145022 109010 338004 191017 172027
126031 122046 134059 136048 131054 130045.
138049 126042 127042 113032 139041 127023
127023 145015 334010 063008 064010 PPC002
185011 131027 147047 147044 132043 128034
122035 127033 120041 127034 124033 124033.
120033 137023 149019 133026 113024 040004
285016 328010 325009 007011 346020 342020
300020 018013 108018 140039 134053 130057
114072 125079 110068 116053 116061 119065.
121056 129055 125038 137038 149030 157022
136025 150033 142018 140017 120021 122026
133033 150030 202009 135017 148025 120062
121049 131058 133052 103034 084026 134034.
149029 128033 117031 112041 121039 129034
352012 088029 085031 077047 081033 325022
041012 050016 077032 014048 313027 296044
300032 320031 300030 296036 306018 //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
324032 332038 286032 286050 300058 329062
337046 328049 317030 341018 064010 PPC000.
129029 125032 137031 147022 127027 129028
122029 122031 113030 279007 PPC000 045008
330019 011011 145041 125036 133055 139063
111067 128068 123063 123066 116048 117052.
126045 122035 138017 136009 245016 335012
334012 359040 286012 299021 ////// 093010
125071 136067 134068 121062 133071 121060
104052 090063 091051 098041 093040 094035.
119046 096034 090039 086043 096036 085049
094024 338015 ////// ////// ////// //////
////// ////// ////// 136017 137023 //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
262017 319010 346023 352019 339011 295032
285023 272014 244013 144028 141032 140034.
119036 112045 091033 089026 113029 126028
113032 ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// ////// ////// ////// 341016 338035
////// ////// ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 302122
293096 296151 301132 301149 303138 303120
309119 314118 306120 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 269011
352012 352021 329012 347021 262008 282043
322035 270033 322047 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
313021 353019 303021 325026 331016 039018
271015 107006 116030 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 327017
313018 287015 134005 345016 140027 137029
142037 137043 146050 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 353030
329031 329030 320032 326030 310024 332012
283020 139028 142042 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// PPC000
111013 123032 122053 141048 146065 141055
130060 135068 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
////// 312022 319027 298039 296064 299072
298059 287052 310028 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 296027
333017 141029 228022 068020 331043 334054
310095 310088 287071 ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// 335041
318035 307067 295065 281081 310071 307053
329039 331037 276007 ////// ////// //////=
127035 127034 131030 127028 120023 079014
164008 126003 109010 114008 268010 072011
PPC002 338008 330016 324023 310028 317027
309031 302026 287032 314019 291015 298024.
322017 304017 277011 218015 277013 276008
308011 314010 ////// ////// ////// //////
////// 155019 117048 099053 130043 124050
119048 122048 125045 127036 121032 124034.
116032 112031 117037 125042 125035 138026
213003 084014 309014 143012 ////// //////
////// ////// 333015 091019 083017 311015
213011 129032 ////// ////// ////// //////.
////// ////// ////// ////// ////// //////
////// ////// ////// ////// ////// //////
323003 352010 110009 154017 127024 120032
130028 146030 142029 140028 136015 121018.
121020 121023 140008 129015 119024 139005
095012 172006 304007 329009 292015 114017
