O2227 3440N 11225E 001830 001830 105 000 S15 91999999919999199999 0 2010 02
P=
TB
0067 0057 0056 0045 0030 0018 0020 0007 0001 0013 0001 0004
0024 0038 0053 0071 0089 0083 0110 0115 0106 0073 0055 0048 0120 1533 -003 0713.
0038 0029 0022 0015 0010 0011 0009 0006 0005 0005 0000 -001
0003 0020 0028 0041 0055 0055 0064 0065 0060 0051 0045 0037 0067 1443 -002 0730.
0031 0021 0009 0002 -001 -004 -006 -009 -010 -012 -014 -012
-004 0005 0013 0023 0032 0037 0047 0048 0046 0032 0032 0027 0050 1520 -015 0644.
0017 0003 -004 0000 -010 -011 -017 -017 -019 -019 -023 -018
-008 0020 0031 0043 0058 0064 0069 0067 0060 0049 0044 0041 0070 1414 -025 0732.
0036 0032 0011 0001 0006 0005 0015 0014 0014 0006 0005 0001
0008 0012 0016 0017 0018 0021 0022 0025 0027 0028 0029 0029 0042 2026 0000 0012.
0028 0024 0020 0017 0016 0014 0013 0010 0007 0003 0004 0003
0003 -001 -009 -010 -008 -007 -006 -004 -004 -004 -004 -003 0028 2100 -010 1056.
-003 -005 -005 -003 -003 -002 -001 0000 0000 0000 0000 0002
0003 0006 0007 0008 0016 0024 0022 0024 0027 0024 0024 0025 0027 1645 -006 2224.
0025 0025 0025 0024 0025 0023 0023 0022 0023 0021 0022 0023
0027 0031 0040 0043 0045 0049 0048 0049 0046 0039 0034 0033 0053 1418 0021 0408.
0032 0028 0026 0020 0019 0018 0018 0017 0019 0021 0023 0026
0027 0025 0023 0023 0028 0030 0028 0025 0024 0024 0025 0023 0033 2029 0017 0118.
0024 0023 0022 0019 0014 0010 0007 0009 0008 0007 0006 0000
0002 0002 0000 -004 -011 -012 -013 -010 -016 -013 -017 -021 0025 2109 -021 1952.
-026 -031 -032 -033 -033 -037 -037 -037 -037 -037 -036 -032
-024 -020 -016 -012 -015 -006 0000 0001 -002 -012 -020 -015 0007 1518 -038 0257.
-017 -013 -018 -030 -026 -022 -022 -025 -026 -026 -025 -021
-017 -005 0003 0017 0024 0027 0031 0024 0023 0012 -001 -001 0035 1503 -032 0006.
-006 -011 -015 -016 -016 -016 -016 -017 -018 -019 -024 -017
-012 -007 -002 0012 0016 0018 0015 0015 0015 0014 0013 0009 0022 1224 -024 0649.
0006 0004 0004 0002 -003 -007 -008 -008 -009 -008 -009 -010
0000 0011 0018 0036 0046 0041 0042 0041 0036 0028 0023 0020 0047 1327 -013 0731.
0017 0015 0011 0008 0002 0001 0000 0000 -002 -002 -002 -002
-011 -008 -007 -008 -003 0001 0003 0002 0002 -001 -004 -009 0020 2001 -011 0841.
-012 -008 -011 -017 -018 -021 -018 -019 -018 -017 -020 -014
-008 0000 0011 0019 0031 0035 0043 0051 0055 0047 0037 0028 0057 1643 -022 0156.
0017 0023 0013 0014 0024 0021 0013 0015 0013 -006 0023 0026
0025 0028 0042 0047 0053 0056 0056 0057 0051 0040 0031 0027 0064 1546 -006 0557.
0020 0012 0010 0003 0007 0001 0000 -006 -006 -010 -014 -006
0014 0041 0055 0068 0078 0087 0093 0100 0089 0081 0070 0055 0102 1602 -020 0654.
0037 0018 0010 0002 -003 -004 -005 -018 -015 -017 -014 0001
0029 0051 0078 0106 0142 0151 0155 0153 0154 0132 0116 0083 0164 1641 -022 0641.
0089 0081 0044 0030 0026 0008 0001 -003 -006 0001 -010 0001
0045 0068 0109 0151 0175 0195 0207 0206 0203 0169 0153 0137 0215 1530 -013 0711.
0125 0115 0095 0088 0066 0058 0057 0032 0026 0023 0020 0032
0073 0114 0141 0161 0191 0206 0214 0206 0188 0160 0140 0132 0217 1441 0018 0625.
0118 0097 0084 0079 0064 0054 0047 0042 0042 0041 0037 0042
0066 0082 0110 0135 0153 0170 0180 0190 0184 0158 0134 0107 0193 1613 0036 0704.
0096 0089 0079 0067 0061 0054 0045 0040 0036 0038 0033 0051
0072 0095 0134 0149 0179 0187 0199 0196 0186 0167 0156 0149 0202 1446 0031 0657.
0130 0119 0103 0093 0084 0081 0072 0072 0068 0081 0082 0089
0097 0114 0135 0160 0171 0182 0183 0183 0175 0157 0137 0128 0187 1533 0067 0501.
0135 0126 0115 0112 0103 0100 0098 0087 0087 0086 0078 0079
0105 0119 0140 0140 0152 0159 0159 0151 0142 0132 0123 0114 0160 1347 0078 0700.
0101 0094 0079 0074 0066 0060 0058 0058 0056 0047 0045 0051
0066 0085 0097 0107 0122 0131 0132 0130 0118 0111 0109 0106 0139 1408 0044 0610.
0104 0098 0089 0082 0078 0074 0072 0069 0063 0058 0056 0057
0059 0064 0069 0086 0097 0106 0111 0110 0098 0088 0079 0074 0116 1534 0056 0646.
0071 0068 0065 0067 0073 0074 0075 0074 0067 0051 0046 0039
0030 0026 0027 0026 0028 0026 0022 0025 0026 0023 0024 0025 0075 0158 0022 1449=
I=
E=
U=
N=
H=
C=
V=
R6
=
=
0000 ////////// 00000=
W=
L=
Z=
G=
FN
020008 PPC000 011009 153009 033010 PPC000
029015 071006 020008 210006 PPC000 050006
093007 249012 223016 033009 116008 199022
252027 201012 314005 084007 174005 022012.
043031 047037 045021 050031 055024 040018
062026 041018 019011 059011 039012 342006
////// 014014 018013 246007 173005 310008
034018 081014 085011 059023 060022 053026.
057027 045020 055019 050015 040025 036019
053017 060020 063025 038025 036014 041016
052017 057014 073013 088015 012013 214007
152005 048012 059009 054007 050020 049013.
052009 014007 PPC000 001015 069005 019007
064005 PPC000 042006 047009 034010 014007
////// PPC000 000004 031017 056014 043026
044024 044013 050021 044009 055018 055016.
039016 049016 026016 010004 023011 043007
071008 031017 063014 065015 056014 047009
060011 ////// 043019 040019 063015 053014
053035 073018 053023 059025 069022 068026.
050033 079023 049028 064024 046019 046026
049028 033015 039016 048031 052027 036028
057024 110015 085026 045025 059029 050025
////// 046014 055025 069019 063025 059016.
054021 070018 045016 039013 016012 344011
027007 PPC000 055012 127006 179006 027017
031012 039015 048018 164010 202015 245010
023016 006011 064010 079019 147008 PPC000.
PPC000 027008 019007 056007 163005 161005
191006 209006 018010 051005 PPC000 166006
208006 135004 ////// 188008 106008 064017
061009 060010 046019 062021 064020 044017.
063017 041014 056018 055031 061026 060016
055021 038014 029012 019006 048005 257014
009012 050019 068016 053016 058023 055015
061016 037017 053020 043008 064014 080007.
047021 067020 093017 072013 097013 078022
103028 074029 059029 069030 074047 060032
048034 063038 072051 069022 078017 056023
109026 107033 073029 054038 052034 072040.
058028 071012 125015 098019 079012 113014
049012 081015 079013 053025 121010 PPC000
////// ////// 151019 226009 066009 098005
040011 230018 248017 216013 209009 199018.
PPC000 182007 085008 051006 028004 045008
018008 001012 035008 141010 154005 021006
038008 192009 241013 153011 157015 035013
129008 136014 102009 093009 PPC000 055020.
064012 060011 058005 PPC000 003014 344012
340004 023009 033010 034007 PPC000 063015
071016 047022 063021 063018 065021 067020
048021 056024 063012 058014 039028 050026.
056013 054012 014009 066006 243021 217013
254012 244016 243008 221009 230005 231013
065007 017011 067013 201017 195016 124007
069015 051019 076012 071038 044024 049028.
065020 052015 060009 245022 212009 266013
108004 345007 055011 055010 053011 051017
058015 068012 105014 056022 049020 075013
047006 057019 191011 047010 031012 030006.
250004 242010 223008 PPC000 250009 254005
241005 200010 230018 210010 204010 253018
245015 196010 185009 193010 250020 162006
222017 188012 251010 236017 229019 239017.
234013 271019 251013 149006 261040 192010
004008 264021 237011 074005 156014 213020
165023 087023 255025 078025 358038 034025
006032 353013 048017 056018 018023 166010.
111007 115008 257022 136010 187012 087008
117009 247008 240014 170009 164009 258019
266025 246024 250027 220018 164016 262046
239041 224022 225027 206014 251024 247016.
241013 025006 236007 PPC000 237005 262006
PPC000 056008 336004 217007 235009 221007
067012 197015 189013 203011 245026 243014
025017 181018 279015 258007 259022 248011.
252011 250014 142005 241005 255011 013011
013008 PPC000 PPC000 239007 049004 229008
185010 199008 106011 199018 176011 220024
195024 196022 231012 221012 206017 220014.
228017 251013 255015 258015 304009 290017
117007 054009 090004 010009 246006 035014
197013 189007 162008 208015 134015 047016
081023 093027 052023 050022 050014 017014.
026015 029009 083008 079005 105007 040011
162004 030011 038011 006008 321006 047007
037013 087004 128013 141009 180012 139007
339008 107010 138011 182005 007008 358005.
357009 082005 354009 044008 051007 038012
PPC000 028005 044009 064006 PPC000 156004
044005 044010 158010 137007 131018 086014
069019 056022 056022 042015 046021 048014.
047006 334013 081004 035008 035010 027005
044009 017006 032010 071006 150006 PPC000
042007 PPC000 195005 092008 034007 211007
147015 212011 099006 048008 060005 237005.
048029 120012 006009 357006 PPC000 PPC000
351009 337006 019010 228005 033008 012006
019008 025008 038014 065016 094026 080015
054026 056041 067029 056032 065017 051020.
053022 041015 024016 078017 042012 042009
035009 059023 048029 057012 019011 290005
048012 053022 ////// 036021 036013 066023
062028 044021 052041 055033 076020 055024.
053016 052024 056020 046021 060013 049025
042017 055015 046026 066022 051019 085013
047033 043026 052027 045021 061025 064029
050042 079015 048021 084014 050028 046017.
055020 053019 053014 050024 060017 039013
044019 064028 049028 048019 069027 049026
058030 042026 055024 044023 079019 022020
050022 ////// 023014 103022 052015 046009=
019009 PPC000 009008 123007 031009 PPC000
032015 064006 022008 171006 PPC000 057006
053008 236012 235016 041012 127009 201020
248026 292014 356008 079007 202004 029013.
047027 050027 042022 050029 052023 046025
052026 048019 039011 050010 040012 357008
////// 019013 031012 260008 133006 013010
054016 096014 090012 058023 056023 055026.
056027 049023 060019 046020 047020 042019
050019 053018 054024 043022 036015 047017
050015 058014 065014 067013 031011 191006
135005 042012 065008 077006 049017 053013.
047011 035005 295004 357015 062005 004008
058005 061004 047006 037009 044008 012009
////// 117004 052006 044016 060014 060022
057023 062017 052022 047012 052018 055016.
043017 048016 025012 008005 026010 041006
063009 028016 057014 063013 052012 047011
057010 ////// 046016 047017 055012 054014
056032 057016 057015 059029 059022 064022.
052029 067022 050027 063025 049021 048024
049024 037017 041014 054026 051026 045028
063020 079016 071024 050029 060027 052026
