O2191 3419N 11151E 009300 009300 105 000 S15 01011 2011 02
P=
T0
//// //// //// //// //// //// //// //// //// -028 //// //// //// //// //// //// //// //// //// -028 //// //// //// //// //// //// //// //// //// -021 //// //// //// //// //// //// //// //// //// -022 //// //// //// //// //// //// //// //// //// -024 //// //// //// //// //// //// //// //// //// ////,
//// //// //// //// //// //// //// //// //// -021 //// //// //// //// //// //// //// //// //// -014 //// //// //// //// //// //// //// //// //// -011 //// //// //// //// //// //// //// //// //// -014 //// //// //// //// //// //// //// //// //// -019 //// //// //// //// //// //// //// //// //// ////,
//// //// //// //// //// //// //// //// //// -015 //// //// //// //// //// //// //// //// //// -012 //// //// //// //// //// //// //// //// //// -017 //// //// //// //// //// //// //// //// //// -025 //// //// -027 -028 -029 -029 -029 -029 -028 -028 -026 -020 -018 -019 -021 -023 -024 -025 -027 -027,
-028 -028 -028 -029 -029 -030 -031 -031 -031 -031 -032 -032 -032 -032 -029 -027 -024 -023 -023 -024 -024 -022 -020 -019 -019 -020 -021 -021 -018 -018 -018 -019 -021 -022 -022 -023 -024 -024 -025 -025 -026 -027 -027 -027 -027 -027 -027 -028 -028 -027 -028 -027 -026 -026 -023 -023 -023 -023 -024 -025,
-025 -026 -026 -026 -025 -022 -020 -018 -019 -019 -020 -023 -023 -024 -024 -025 -026 -028 -029 -029 -030 -030 -030 -031 -031 -032 -031 -032 -031 -031 -031 -032 -032 -031 -032 -034 -034 -034 -035 -036 -036 -036 -037 -038 -037 -032 -029 -025 -025 -026 -027 -026 -024 -024 -024 -024 -026 -028 -028 -026,
-025 -026 -028 -029 -030 -031 -031 -031 -031 -031 -031 -032 -031 -031 -032 -032 -032 -031 -031 -032 -032 -027 -024 -024 -021 -019 -018 -016 -016 -014 -014 -018 -020 -021 -022 -022 -022 -023 -021 -020 -017 -016 -016 -015 -014 -013 -014 -015 -014 -013 -012 -012 -012 -011 -011 -013 -014 -016 -016 -016,
-015 -015 -017 -017 -015 -014 -015 -017 -018 -016 -015 -014 -016 -018 -020 -021 -021 -021 -022 -022 -023 -023 -022 -021 -019 -016 -016 -017 -018 -019 -020 -021 -021 -020 -020 -021 -023 -024 -024 -024 -023 -022 -021 -020 -019 -017 -018 -020 -019 -017 -018 -019 -021 -021 -022 -024 -025 -026 -027 -029,
-029 -028 -028 -028 -026 -024 -023 -021 -021 -020 -018 -017 -017 -018 -020 -021 -023 -023 -022 -022 -022 -021 -021 -020 -019 -021 -021 -022 -022 -024 -023 -022 -022 -021 -020 -020 -022 -023 -024 -024 -025 -023 -018 -017 -017 -017 -018 -018 -017 -016 -016 -019 -022 -022 -022 -023 -024 -025 -026 -027,
-029 -030 -030 -031 -032 -031 -033 -034 -034 -034 -034 -034 -034 -032 -032 -032 -029 -026 -023 -023 -026 -027 -025 -024 -022 -022 -023 -026 -027 -023 -021 -020 -019 -018 -017 -017 -016 -016 -018 -018 -018 -018 -018 -019 -020 -021 -019 -017 -015 -013 -012 -014 -016 -016 -013 -012 -013 -013 -014 -014,
-014 -014 -013 -013 -015 -016 -015 -014 -013 -013 -014 -014 -015 -016 -017 -018 -018 -017 -016 -017 -016 -016 -016 -016 -016 -016 -017 -018 -018 -018 -019 -020 -018 -018 -018 -020 -023 -024 -025 -024 -025 -024 -023 -022 -023 -025 -025 -026 -028 -028 -029 -029 -028 -025 -023 -024 -026 -026 -025 -023,
-020 -019 -019 -020 -020 -020 -019 -019 -019 -019 -018 -018 -018 -017 -017 -017 -017 -016 -016 -017 -017 -017 -017 -016 -016 -016 -016 -016 -016 -017 -018 -018 -018 -018 -018 -017 -017 -016 -015 -015 -015 -015 -015 -015 -015 -014 -014 -014 -014 -014 -015 -014 -014 -013 -014 -014 -013 -014 -015 -015,
-014 -014 -012 -012 -012 -013 -013 -014 -013 -012 -013 -013 -013 -013 -014 -015 -014 -013 -012 -012 -012 -012 -012 -012 -012 -013 -013 -013 -014 -014 -014 -013 -013 -012 -012 -012 -012 -013 -013 -013 -013 -014 -014 -014 -014 -014 -014 -014 -013 -013 -013 -013 -013 -013 -013 -013 -014 -014 -013 -014,
-014 -014 -015 -014 -013 -013 -013 -013 -014 -014 -014 -013 -013 -012 -011 -011 -011 -011 -011 -011 -011 -012 -013 -014 -014 -015 -015 -014 -013 -013 -013 -013 -013 -012 -012 -012 -012 -012 -011 -011 -010 -010 -010 -009 -009 -009 -009 -009 -009 -009 -008 -008 -008 -008 -008 -008 -008 -008 -008 -007,
-007 -007 -007 -007 -007 -007 -007 -007 -006 -006 -006 -005 -005 -006 -005 -005 -005 -005 -005 -006 -005 -005 -004 -004 -004 -004 -003 -003 -003 -002 -002 -002 -002 -002 -001 -001 0000 0000 0001 0001 0002 0001 0001 0001 0001 0001 0001 0001 0001 0002 0003 0004 0004 0004 0003 0002 0002 0004 0006 0008,
