2008-04-01 //// 0000 ////
2008-04-02 0 0 0
2008-04-03 //// 0000 ////
2008-04-04 0 0 0
2008-04-05 0 0 0
2008-04-06 0 0 0
2008-04-07 0 0 0
2008-04-08 161 23 184
2008-04-09 1 0 1
2008-04-10 0 61 61
2008-04-11 0 0 0
2008-04-12 6 0 6
2008-04-13 //// 0000 ////
2008-04-14 0 0 0
2008-04-15 0 0 0
2008-04-16 0 0 0
2008-04-17 0 0 0
2008-04-18 0 83 83
2008-04-19 311 110 421
2008-04-20 36 1 37
2008-04-21 0 0 0
2008-04-22 6 1 7
2008-04-23 0 0 0
2008-04-24 0 0 0
2008-04-25 //// 0000 ////
2008-04-26 0 0 0
2008-04-27 //// 0000 ////
2008-04-28 0 0 0
2008-04-29 0 0 0
2008-04-30 0 0 0
2008-05-01 0 0 0
2008-05-02 0 0 0
2008-05-03 0 10 10
2008-05-04 2 0 2
2008-05-05 0 0 0
2008-05-06 0 0 0
2008-05-07 0 0 0
2008-05-08 //// 0005 0005
2008-05-09 4 6 10
2008-05-10 1 1 2
2008-05-11 1 2 3
2008-05-12 0 0 0
2008-05-13 0 0 0
2008-05-14 0 0 0
2008-05-15 0 0 0
2008-05-16 0 0 0
2008-05-17 0 0 0
2008-05-18 0 0 0
2008-05-19 //// 0000 ////
2008-05-20 0 0 0
2008-05-21 0 0 0
2008-05-22 0 0 0
2008-05-23 0 1 1
2008-05-24 0 0 0
2008-05-25 0 0 0
2008-05-26 0 0 0
2008-05-27 0 0 0
2008-05-28 0 0 0
2008-05-29 0 0 0
2008-05-30 0 0 0
2008-05-31 0 0 0
2008-06-01 0 0 0
2008-06-02 0 0 0
2008-06-03 0 1 1
2008-06-04 //// 0000 ////
2008-06-05 0 0 0
2008-06-06 0 0 0
2008-06-07 0 0 0
2008-06-08 0 0 0
2008-06-09 0 0 0
2008-06-10 0 0 0
2008-06-11 0 0 0
2008-06-12 0 0 0
2008-06-13 0 0 0
2008-06-14 //// 0000 ////
2008-06-15 0 0 0
2008-06-16 0 0 0
2008-06-17 0 0 0
2008-06-18 0 18 18
2008-06-19 //// 0000 ////
2008-06-20 0 0 0
2008-06-21 0 0 0
2008-06-22 0 58 58
2008-06-23 13 0 13
2008-06-24 0 0 0
2008-06-25 0 0 0
2008-06-26 0 0 0
2008-06-27 0 0 0
2008-06-28 0 0 0
2008-06-29 0 0 0
2008-06-30 //// 0000 ////
2008-07-01 4 186 190
2008-07-02 9 1 10
2008-07-03 //// 0000 ////
2008-07-04 0 28 28
2008-07-05 258 0 258
2008-07-06 0 0 0
2008-07-07 0 0 0
2008-07-08 0 0 0
2008-07-09 0 0 0
2008-07-10 0 0 0
2008-07-11 0 0 0
2008-07-12 0 0 0
2008-07-13 0 9 9
2008-07-14 0 5 5
2008-07-15 16 31 47
2008-07-16 0 0 0
2008-07-17 //// 0000 ////
2008-07-18 14 0 14
