2008-04-01 //// //// ////
2008-04-02 //// 0000 ////
2008-04-03 0 0 0
2008-04-04 0 0 0
2008-04-05 0 0 0
2008-04-06 0 0 0
2008-04-07 0 0 0
2008-04-08 65 41 106
2008-04-09 3 0 3
2008-04-10 0 13 13
2008-04-11 1 0 1
2008-04-12 27 0 27
2008-04-13 0 0 0
2008-04-14 0 0 0
2008-04-15 0 0 0
2008-04-16 0 0 0
2008-04-17 0 0 0
2008-04-18 0 24 24
2008-04-19 181 110 291
2008-04-20 3 2 5
2008-04-21 0 0 0
2008-04-22 8 0 8
2008-04-23 0 0 0
2008-04-24 0 0 0
2008-04-25 0 0 0
2008-04-26 0 0 0
2008-04-27 0 0 0
2008-04-28 0 0 0
2008-04-29 0 0 0
2008-04-30 0 0 0
2008-05-01 0 0 0
2008-05-02 0 0 0
2008-05-03 0 42 42
2008-05-04 0 0 0
2008-05-05 0 0 0
2008-05-06 0 0 0
2008-05-07 0 0 0
2008-05-08 293 108 401
2008-05-09 0 2 2
2008-05-10 0 0 0
2008-05-11 0 0 0
2008-05-12 0 0 0
2008-05-13 0 0 0
2008-05-14 0 0 0
2008-05-15 0 0 0
2008-05-16 0 0 0
2008-05-17 0 117 117
2008-05-18 96 0 96
2008-05-19 0 0 0
2008-05-20 0 0 0
2008-05-21 0 0 0
2008-05-22 0 0 0
2008-05-23 0 53 53
2008-05-24 3 0 3
2008-05-25 0 0 0
2008-05-26 0 0 0
2008-05-27 0 1 1
2008-05-28 0 0 0
2008-05-29 0 0 0
2008-05-30 0 0 0
2008-05-31 0 0 0
2008-06-01 0 0 0
2008-06-02 0 0 0
2008-06-03 66 0 66
2008-06-04 0 0 0
2008-06-05 0 0 0
2008-06-06 0 0 0
2008-06-07 0 0 0
2008-06-08 0 0 0
2008-06-09 0 0 0
2008-06-10 0 0 0
2008-06-11 55 0 55
2008-06-12 0 0 0
2008-06-13 0 0 0
2008-06-14 0 0 0
2008-06-15 0 0 0
2008-06-16 17 1 18
2008-06-17 0 0 0
2008-06-18 0 0 0
2008-06-19 0 0 0
2008-06-20 7 0 7
2008-06-21 0 0 0
2008-06-22 0 1 1
2008-06-23 0 0 0
2008-06-24 0 0 0
2008-06-25 0 0 0
2008-06-26 0 0 0
2008-06-27 0 0 0
2008-06-28 0 0 0
2008-06-29 0 0 0
2008-06-30 0 0 0
2008-07-01 13 64 77
2008-07-02 0 0 0
2008-07-03 0 0 0
2008-07-04 1 1 2
2008-07-05 141 0 141
2008-07-06 0 0 0
2008-07-07 0 0 0
2008-07-08 0 0 0
2008-07-09 0 0 0
2008-07-10 0 0 0
2008-07-11 0 0 0
2008-07-12 4 0 4
2008-07-13 0 0 0
2008-07-14 65 0 65
2008-07-15 138 4 142
